p.H,DO,EC,WT,BOD,COD,TOC,Chla,SS,TN,T.P,NH3N,PO4P,Flow,Rain,logTC,logFC
-0.425279566,1.265713664,1.705839005,-1.537618853,0.617608748,0.233204072,0.166332695,-0.719112604,-0.489794524,1.722801792,2.318182643,1.380161753,2.485326266,-0.537653398,-0.703938164,1.154314588,0.176878277
-0.425279566,0.274686795,1.049229576,-1.218721062,0.905147253,0.68749772,0.403245731,-1.205441476,0.047616168,1.499007777,1.896223804,1.373992628,2.097622261,-0.515375813,0.269686912,2.072402878,0.893877871
-0.14942255,0.188510546,0.080461565,-0.925335093,0.401954869,-0.26651894,-0.544406416,-1.687504306,-0.015608619,0.194708286,0.534111058,-0.323750531,0.848353801,-0.062442996,-0.320209537,1.124486829,-0.484011946
-0.14942255,0.145422421,0.2419229,-0.338563156,1.336455011,0.642068355,-0.011352083,-0.002417424,0.750991927,-0.108013082,1.341014804,-0.569281701,1.416986341,-0.408872855,0.242066342,2.03094735,0.40913199
-0.701136581,-0.759428199,-0.124056126,0.375767898,0.114416364,-0.084801481,-0.840547712,-1.141450835,0.260999825,-0.465683873,1.185556284,-0.830852594,1.425601986,-0.187653757,-0.093326287,1.951912216,0.80203716
-0.976993597,-1.276485696,0.13428201,1.090098952,0.042531737,-0.357377669,0.047876176,-0.99213934,1.217274733,-0.582576283,0.378652538,-0.957319654,0.012636279,-0.191223538,-0.373477778,1.258627483,0.569225145
-0.976993597,-1.104133197,-0.985183246,1.07734304,-0.388776021,0.233204072,-0.899775971,-1.550990938,1.817910213,-1.108092585,0.386055324,-1.197298611,0.408955928,3.341384032,3.398702859,1.243629344,1.401932868
-0.425279566,-1.40575007,-1.695613121,1.306949451,-0.820083778,-0.902530046,-1.255145526,-1.277964203,2.165646543,-1.228481776,0.208388445,-1.057876389,0.27972126,1.205097881,2.260340815,1.155494216,1.49000504
-0.14942255,-0.974868822,-1.717141299,0.962539835,-1.251391536,-1.356823693,-1.551286822,-1.32062463,0.158259546,-1.515217857,-0.250584329,-1.22937806,-0.013210655,2.429532974,0.30815842,0.740601894,1.273104637
-0.976993597,-0.457811325,-0.199404749,0.222696958,-1.467045415,-1.12967687,-1.077460749,-1.295028374,-0.355441851,-0.449698587,0.126957791,-0.961021129,0.486496729,-0.365015538,-0.655602167,0.612359385,1.184613739
-0.425279566,-0.414723201,0.812419618,-0.580925478,-0.460660647,-0.539095128,-0.662862934,-1.120120622,0.679864041,0.356559314,1.155945137,-0.36076528,1.322214251,-0.527695586,-0.99691349,0.443166903,0.664973971
-0.425279566,0.964096791,1.835008073,-1.180453327,0.401954869,0.006057249,-0.24826512,-0.458883997,1.53339867,1.237248707,1.281792511,0.721916131,1.175748294,-0.527400341,-0.656588616,0.979392479,1.011121332
-0.701136581,1.179537415,1.770423539,-1.5886425,0.473839495,-0.084801481,0.107104435,-1.094524365,0.616639254,2.248318094,2.584682963,2.515897639,2.855798982,-0.53545248,-0.99691349,0.47737614,0.189160926
-0.976993597,0.31777492,1.533613581,-1.28250062,1.048916505,0.460350896,0.462473991,-0.501544425,0.8853446,2.075976721,2.044279537,2.720095671,1.572067943,-0.529950185,-0.480014261,0.897492533,0.371586168
0.678148497,0.619391793,0.607901927,-1.001870563,0.905147253,0.505780261,0.877071805,-0.096270364,1.470173883,1.298692153,2.266363137,0.98472085,1.933925015,-0.40683298,-0.842041011,-0.154567893,-0.217283072
0.954005512,0.490127419,0.747835084,-0.198248127,4.139955437,2.050378661,1.765495693,2.16899833,1.841619508,0.741205277,2.92521115,0.778055167,2.519788845,-0.339221853,-0.053868331,0.571914967,0.000454784
0.954005512,0.145422421,-1.125116403,0.414035633,1.048916505,-0.039372116,-0.425949897,0.415654764,1.430658391,-0.698469612,0.260207951,-0.70808701,-0.280295636,0.93213037,0.339724785,0.157359681,0.239128972
-0.14942255,-0.888692573,-0.748373288,0.860492542,1.264570384,0.278633437,0.52170225,0.087169473,1.604526556,-0.590568926,0.474888764,-0.575450825,0.245258682,-0.037588727,0.113827984,-0.486043603,-0.147634874
0.402291481,-0.974868822,-1.953951257,1.115610775,0.401954869,-0.039372116,-0.544406416,-1.222505647,7.539753465,-0.8598211,0.985681044,-0.724743647,0.072945791,5.192973389,1.667485019,1.51831435,1.836850278
-0.701136581,-0.673251949,-1.932423079,1.192146246,-1.610814668,-1.538541152,-1.610515082,-1.384615272,0.000197577,-1.370850736,-0.317209408,-1.198532436,-0.00459501,4.842436939,2.703256376,1.344234834,1.637955121
2.33329059,0.016158047,-0.791429644,1.255925804,0.545724121,-0.311948304,-0.781319453,1.366982295,-0.466085229,-1.110090746,-0.295001049,-1.01099104,-0.219986124,0.457644661,-0.936740107,0.027769025,-0.461959009
0.954005512,0.834832417,0.349563791,0.23545287,0.258185616,-0.221089575,-0.425949897,0.556434175,-0.402860442,0.342072648,2.666113617,-0.563112576,3.140115253,-0.365015538,-0.867688683,-0.798645251,-0.680255167
0.126434465,0.576303668,0.511025126,-0.274783597,0.258185616,-0.311948304,-0.189036861,0.407122679,0.498092778,0.256151732,2.673516403,-0.855529094,2.692101736,-0.307737989,0.279551401,0.094165278,0.473895045
-0.976993597,1.481154288,1.081521843,-1.180453327,-1.682699294,-1.356823693,-1.136689008,-1.414477571,-0.837530855,0.320592419,2.110904617,-0.774713558,2.752411248,-0.284279424,-0.938713004,0.085233802,0.343810633
0.954005512,2.256740534,1.425972691,-1.499351118,0.401954869,0.369492166,0.344017472,0.249279097,0.063422365,2.179381545,3.139891963,1.386330878,3.019496229,-0.587200893,-0.919970475,0.010917184,0.031161404
0.402291481,1.13644929,1.727367183,-1.422815648,0.905147253,1.005503273,0.936300064,0.513773747,-0.181573686,2.582510495,2.68091919,2.484435102,2.588714001,-0.55864264,-0.886431212,0.878618471,0.696936772
0.678148497,0.576303668,1.286039534,-0.733996418,1.480224263,1.505226285,1.883952212,1.102487645,-0.007705521,3.095038752,2.94741951,3.248172759,2.993649295,-0.449509316,-0.079516003,0.898335125,0.779705072
1.229862528,0.576303668,-0.134820215,-0.121712657,1.048916505,1.278079461,0.640158768,2.156200201,0.023906873,0.273136099,1.57050119,0.175948582,1.201595227,-0.401545408,-0.256090358,0.576802001,0.237454065
0.954005512,0.490127419,0.048169298,0.783957072,1.264570384,1.323508826,0.817843546,1.358450209,-0.26060467,-0.225405032,0.889444818,0.283291354,1.046513625,-0.404122093,-0.649683473,-1.914911191,-1.431311195
2.057433575,1.050273041,0.037405209,1.179390334,1.839647395,2.186666756,1.587810915,1.934365979,-0.189476785,0.220684377,1.059708911,0.444922425,1.115438782,-0.33441741,-0.250171664,-2.185383237,-1.410095712
0.954005512,0.274686795,-1.426510896,1.294193539,-0.101237515,0.59663899,-0.24826512,0.372994337,0.450674187,-1.268944533,-0.457862355,-1.093657313,-0.21137048,1.864219137,2.191289391,-0.979128467,-0.517370502
