"p.H","DO","BOD","COD","SS","TN","T.P","TOC","WT","EC","TC","NH3N","PO4P","Chla","FC","Flow"
-0.937168186260795,1.08937998172707,-0.585750741708066,-1.34532043369637,-1.0140481929446,1.98044478506258,-0.642669809906824,-1.32806426570948,-1.48961702492373,0.535608360543192,-0.273623501820568,0.342638987873143,0.290259532121969,-0.722883416922167,-0.303229429333333,-0.37336506410382
-0.512617704718892,1.59013545758542,-1.01304357398904,-1.21143467513648,-0.853830414894606,1.60622278538942,-0.590694772657099,-1.09776280145986,-1.6078828453075,1.03224394798208,-0.349484306512745,0.37913857569953,0.331923189682173,-0.718638686433483,-0.325446823863432,-0.381180378389691
-1.3617186678027,1.29802809666805,0.340050394900709,-0.854405985643443,-0.659280255833899,1.83456163264762,-0.0969319187847122,-1.04018743539746,-1.6078828453075,0.374201794625554,-0.226210498887957,1.81722233605916,0.91521439552503,-0.621009885193754,-0.30246331228057,-0.378518640915518
-0.0880672231769883,0.880731866786089,-0.514535269661237,-0.720520227083553,-0.682168509841041,1.0861176333013,-0.642669809906824,-0.579584506898239,-1.2530853841562,1.06949161704,-0.292588702993612,0.641935608049513,0.123604901881153,-0.362081325384036,-0.273350864275613,-0.349579324972906
-0.0880672231769883,1.25629847367985,-0.585750741708066,-0.988291744203332,-0.78516565287318,1.04647547231897,-0.694644847156549,-1.04018743539746,-1.13481956377244,0.659767257402914,-0.0270758865709919,0.167440966306488,0.0819412443209492,-0.731372877899535,-0.18946104699817,-0.366285975076762
-0.724892945489844,1.38148734264444,-0.0872424373802639,-0.631263054710294,-0.716500890851754,1.75210593780438,-0.252857030533887,-0.694735239023045,-1.48961702492373,0.113468111220138,-0.235693099474479,1.02153132144393,0.790223422844418,-0.76957545229769,-0.216275143844841,-0.299855803646853
-0.724892945489844,0.588624505868719,-0.585750741708066,-0.899034571830072,-0.693612636844612,1.22090098064121,-0.824582440280862,-0.752310605085447,-1.01655374338867,0.324538235881665,-0.510688516483621,0.342638987873143,0.123604901881153,-0.570073119329547,-0.317785653335811,-0.362831379631558
-0.937168186260795,0.338246767939544,-0.300888853520751,-0.229605779030625,-0.235847556701773,1.50791022615325,-0.200881993284162,-0.349283042648627,-0.661756282237378,0.374201794625554,0.162576125159451,1.0653308268356,1.04020536820564,-0.845980601094,-0.204783388053411,-0.143379619792769
0.124208017593962,0.505165259892327,-0.585750741708066,-0.497377296150404,-0.647836128830328,1.2224866670805,-0.564707254032237,-0.694735239023045,-1.01655374338867,-0.147265572185278,-0.4158625106184,0.386438493264807,0.331923189682173,-0.744107069365587,-0.304378604912476,-0.128145420206541
-0.512617704718892,0.588624505868719,0.0551885067133937,-0.854405985643443,-0.476174223776764,0.626268565906311,-0.538719735407375,-0.867461337210253,-0.780022102621143,-0.743228277111944,-0.264140901234046,0.306139400046757,0.0819412443209492,-0.67194665105796,-0.325446823863432,-0.112911220620313
-0.937168186260795,0.129598652998565,-0.585750741708066,-0.675891640896923,-0.418953588758909,0.485142472809229,-0.876557477530587,-0.867461337210253,-0.661756282237378,-0.0851861237554175,-0.338105185808918,-0.584450542917075,-0.501349961521907,-0.459710126623766,-0.327362116495337,-0.322735419382303
-0.300342463947941,0.37997639092774,0.0551885067133937,-0.452748709963774,0.118920380408927,0.164833812072032,-0.564707254032237,-0.752310605085447,-0.543490461853612,-0.407999255590695,-0.169314895368824,-0.0369567255212767,-0.459686303961703,-0.217760488768783,-0.195206924893885,-0.147966869482303
-0.724892945489844,0.213057898974956,-0.229673381473922,-0.542005882337034,-0.109962159662492,-1.0609018055015,-0.902544996155449,-0.752310605085447,-0.425224641469847,-0.0851861237554175,-0.330519105339701,-0.920246750919831,-1.08464116736476,-0.294165637565094,-0.327362116495337,-0.298666516690307
0.336483258364913,-0.245967953895197,0.197619450807052,-0.140348606657366,0.00447911037321748,-0.626423721135204,-1.13643266377921,-0.522009140835836,-0.188693000702317,-0.147265572185278,0.00137191518857448,-0.365453015958755,-1.29295945516578,0.563269921149053,-0.342684457550577,-0.30053539619345
0.761033739906817,-0.0373198389542184,1.052205115369,0.61833735851534,-0.132850413669634,-0.459926645009433,-0.876557477530587,0.456772082225012,-0.306958821086082,0.00172510404638783,0.181541326332495,-0.540651037525411,-1.33462311272599,0.643919800434048,-0.325446823863432,-0.357224741122128
0.124208017593962,-0.412886445847981,0.0551885067133937,-0.0510914342841062,0.221917523441066,-0.954660814068867,-0.954520033405174,-0.291707676586225,0.0478386400652139,-0.519742262764444,0.162576125159451,-0.956746338746217,-1.12630482492497,0.198223099122238,-0.304378604912476,-0.242770029732659
-0.512617704718892,-0.746723429753547,-0.158457909427093,-0.854405985643443,-0.350288826737483,-0.643866271967428,-0.876557477530587,-1.21291353358467,0.40263610121651,-1.19020030580694,-0.207245297714913,-0.328953428132369,-0.792995564443336,-0.357836594895352,-0.344599750182483,-0.257551167621156
0.336483258364913,-1.03883079067092,0.767343227181682,0.216680082835672,0.313470539469634,-1.19885652572,-0.928532514780312,-0.0614062123366134,0.40263610121651,-0.730812387425972,0.73153216035078,-0.204854829522655,-1.16796848248517,0.728814410207725,-0.325446823863432,-0.373591594952686
-0.512617704718892,-0.704993806765351,-0.37210432556758,-0.318862951403885,0.0960321264017854,0.876807023314614,1.22843153108327,-0.118981578399016,0.40263610121651,-1.06604140894722,4.82801561372835,1.21862909570642,1.12353268332605,-0.701659764478748,-0.195206924893885,2.13569061793429
-0.937168186260795,-0.371156822859785,1.26585153150948,0.395194427582192,-0.0641856516482084,0.583455032045398,0.630718602711437,0.687073546474623,0.757433562367806,-0.954298401773471,2.07806144363692,0.18934071900232,0.415250504802581,-0.459710126623766,-0.315870360703906,0.00992513217719217
-0.512617704718892,-1.58131588951746,0.980989643322169,1.28776615131479,-0.602059620816044,0.964019777475732,1.38435664283245,1.20525184103625,0.875699382751571,-0.581821711194305,6.72453573103277,1.05073099170504,1.58183291648829,-0.413018091248243,-0.300548019648665,-0.0870300711373901
-0.300342463947941,-1.62304551250566,0.197619450807052,1.10925180656827,-0.247291683705344,0.134705769725463,1.02053138208437,0.687073546474623,1.1122310235191,-0.954298401773471,6.62970972516755,0.26963981222037,1.45684194380768,-0.459710126623766,-0.304378604912476,-0.0793846549881677
