
#################################################################
# Summary Statistics
#################################################################

DIC = 280.7247

                Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
Site.SD        2.005 1.579 0.467 0.525 0.826 1.254 3.101 5.169 5.799
p.global.Brown 0.379 0.243 0.037 0.060 0.187 0.312 0.601 0.842 0.849
p.global.Green 0.338 0.229 0.013 0.016 0.054 0.441 0.514 0.623 0.639
p.global.Red   0.282 0.145 0.099 0.115 0.180 0.249 0.326 0.616 0.743
p.CP.Brown     0.128 0.077 0.005 0.018 0.068 0.121 0.175 0.271 0.295
p.EC.Brown     0.329 0.093 0.132 0.171 0.270 0.334 0.391 0.477 0.512
p.FHL.Brown    0.441 0.121 0.143 0.237 0.370 0.448 0.519 0.624 0.655
p.LG.Brown     0.041 0.043 0.000 0.000 0.004 0.029 0.066 0.127 0.143
p.MN.Brown     0.344 0.116 0.088 0.138 0.269 0.351 0.431 0.521 0.550
p.RB.Brown     0.184 0.116 0.005 0.010 0.092 0.178 0.265 0.383 0.415
p.CP.Green     0.414 0.061 0.288 0.310 0.374 0.415 0.452 0.514 0.536
p.EC.Green     0.394 0.061 0.270 0.297 0.356 0.394 0.435 0.495 0.516
p.FHL.Green    0.480 0.096 0.300 0.325 0.411 0.486 0.547 0.635 0.661
p.LG.Green     0.559 0.050 0.461 0.478 0.526 0.559 0.592 0.642 0.656
p.MN.Green     0.544 0.087 0.370 0.394 0.485 0.546 0.606 0.683 0.708
p.RB.Green     0.681 0.097 0.484 0.519 0.617 0.684 0.744 0.846 0.872
p.CP.Red       0.458 0.067 0.325 0.351 0.415 0.457 0.500 0.571 0.595
p.EC.Red       0.276 0.080 0.130 0.155 0.222 0.271 0.324 0.419 0.456
p.FHL.Red      0.079 0.081 0.000 0.000 0.018 0.058 0.112 0.235 0.308
p.LG.Red       0.400 0.050 0.306 0.318 0.366 0.399 0.434 0.481 0.500
p.MN.Red       0.112 0.090 0.000 0.001 0.042 0.098 0.160 0.285 0.342
p.RB.Red       0.135 0.092 0.001 0.006 0.064 0.122 0.197 0.297 0.335
