d15N,d18O,rain
4.84,3.06,rain
5.85,3.45,rain
5.44,3.11,rain
6.88,4.84,rain
6.38,4.01,rain
5.6,3.19,rain
7.77,4.05,rain
5.33,2.58,rain
6.31,3.55,rain
6.58,3.86,rain
6.33,4.24,rain
7.76,3.75,rain
6.59,4.16,rain
5.72,3.28,rain
6.53,3.1,rain
7.25,2.84,rain
7.18,3.1,rain
7.13,2.15,rain
7.25,3.07,rain
6.62,3.69,rain
6.96,2.81,rain
7.96,2.08,rain
7.24,3.14,rain
7.14,3.58,rain
6.6,2.85,rain
8.79,2.52,rain
6.78,3,rain
9.19,3.3,rain
8.93,2.5,rain
6.89,2.83,rain
8.34,3.67,rain
7.51,2.96,rain
6.48,4.31,non_rain
7.12,2.07,non_rain
7.98,3.39,non_rain
7.23,2.39,non_rain
7.29,5.72,non_rain
6.94,4.21,non_rain
8.08,4.28,non_rain
11.84,8.41,non_rain
9.56,7.55,non_rain
9.84,3.75,non_rain
9.8,5.49,non_rain
7.64,3.6,non_rain
8.89,4.53,non_rain
8.78,3.66,non_rain
8.91,3.92,non_rain
8.86,3.47,non_rain
9.4,3.55,non_rain
10.18,2.07,non_rain
9.58,3.37,non_rain
9.19,3.42,non_rain
10.18,2.82,non_rain
18.36,-1.54,non_rain
9.26,2.59,non_rain
7.7,2.22,non_rain
8.88,3.25,non_rain
7.78,2.31,non_rain
10.16,5.48,non_rain
6.4,4.04,non_rain
8.77,4.63,non_rain
13.99,6.17,non_rain
9.02,4.45,non_rain
9.96,4.86,non_rain
10.63,2.47,non_rain
9.52,4.3,non_rain
9.29,4,non_rain
10.68,3.97,non_rain
7.02,1.72,non_rain
10.19,4.17,non_rain
9.24,4.72,non_rain
6.89,0.98,non_rain
9.21,2.58,non_rain
8.05,1.92,non_rain
9.14,2.24,non_rain
8.84,11.7,non_rain
9.59,7.67,non_rain
9.7,-0.45,non_rain
8.35,8.55,non_rain
7.25,2.76,non_rain
7.76,6.5,non_rain
7.51,2.52,non_rain
7.41,4.71,non_rain
7.64,5.69,non_rain
7.67,5.16,non_rain
8.68,2.03,non_rain
8.79,4.2,non_rain
11.42,2.79,non_rain
9.89,2.56,non_rain
17.27,2.92,non_rain
10.08,3.24,non_rain
7.85,3.26,non_rain
9.86,2.83,non_rain
9.98,3.92,non_rain
9.65,3.86,non_rain
10.56,3.04,non_rain
9.46,5.88,non_rain
13.92,6.38,non_rain
10.47,4.58,non_rain
10.58,2.88,non_rain
10.77,0.17,non_rain
10.85,4.29,non_rain
10.58,2.82,non_rain
11.38,3.18,non_rain
6.82,2.14,non_rain
9.64,5.64,non_rain
8.95,4.49,non_rain
6.06,1.17,non_rain
8.14,2.14,non_rain
8.14,2.48,non_rain
8.52,2.49,non_rain
11.91,12.7,non_rain
11.4,7.81,non_rain
10.39,2.93,non_rain
9.13,8.59,non_rain
9.24,4.13,non_rain
9.93,6.68,non_rain
9.4,4.03,non_rain
9.16,6.76,non_rain
9.92,5.32,non_rain
9.57,4.54,non_rain
8.37,2.06,non_rain
7.99,4.23,non_rain
10.21,3.52,non_rain
8.97,2.99,non_rain
14.28,2.68,non_rain
8.2,3.7,non_rain
8.46,3.57,non_rain
8.22,4.79,non_rain
9.67,4.28,non_rain
8.64,5.61,non_rain
10.41,3.55,non_rain
8.13,4.69,non_rain
10.73,5.16,non_rain
8.43,4.52,non_rain
13.02,4.28,non_rain
10.99,4.58,non_rain
8.61,4.58,non_rain
9.18,4.43,non_rain
11.63,3.26,non_rain
3.79,2.09,rain
4.98,1.2,rain
4.98,1.47,rain
2.75,2.54,rain
4.99,1.62,rain
5.13,1.68,rain
6.46,2,rain
9.15,2.52,rain
7.09,2.09,rain
5.73,1.39,rain
8.28,2.52,rain
8.29,1.39,rain
7.46,2.1,rain
4.81,2.5,rain
7.03,2.77,rain
6.74,2.6,rain
7.25,3.13,rain
2.63,0.05,rain
6.38,1.05,rain
6.1,-0.49,rain
6.17,-0.3,rain
7.52,-0.82,rain
6.29,-0.36,rain
4.39,0.76,rain
6.15,0.93,rain
7.27,0.54,rain
6.5,0.08,rain
6.02,0.03,rain
5.81,0,rain
8.5,-0.96,rain
6.14,-0.39,rain
9.78,0.77,rain
7.44,0.61,rain
6.43,0.53,rain
7.04,0.66,rain
6.43,0.03,rain
