d15N,d18O,month
9.02,4.45,August
9.96,4.86,August
10.63,2.47,August
9.52,4.3,August
9.29,4,August
10.68,3.97,August
7.02,1.72,August
10.19,4.17,August
9.24,4.72,August
6.89,0.98,August
9.21,2.58,August
8.05,1.92,August
9.14,2.24,August
8.84,11.7,August
9.59,7.67,August
9.7,-0.45,August
8.35,8.55,August
7.25,2.76,August
7.76,6.5,August
7.51,2.52,August
7.41,4.71,August
7.64,5.69,August
7.67,5.16,August
8.68,2.03,August
8.79,4.2,August
11.42,2.79,August
9.89,2.56,August
17.27,2.92,August
10.08,3.24,August
7.85,3.26,August
9.86,2.83,August
9.98,3.92,August
9.65,3.86,August
10.56,3.04,August
9.46,5.88,August
13.92,6.38,August
10.47,4.58,August
10.58,2.88,August
10.77,0.17,August
10.85,4.29,August
10.58,2.82,August
11.38,3.18,August
6.82,2.14,September
9.64,5.64,September
8.95,4.49,September
6.06,1.17,September
8.14,2.14,September
8.14,2.48,September
8.52,2.49,September
11.91,12.7,September
11.4,7.81,September
10.39,2.93,September
9.13,8.59,September
9.24,4.13,September
9.93,6.68,September
9.4,4.03,September
9.16,6.76,September
9.92,5.32,September
9.57,4.54,September
8.37,2.06,September
7.99,4.23,September
10.21,3.52,September
8.97,2.99,September
14.28,2.68,September
8.2,3.7,September
8.46,3.57,September
8.22,4.79,September
9.67,4.28,September
8.64,5.61,September
10.41,3.55,September
8.13,4.69,September
10.73,5.16,September
8.43,4.52,September
13.02,4.28,September
10.99,4.58,September
8.61,4.58,September
9.18,4.43,September
11.63,3.26,September
3.79,2.09,September
4.98,1.2,September
4.98,1.47,September
2.75,2.54,September
4.99,1.62,September
5.13,1.68,September
6.46,2,September
9.15,2.52,September
7.09,2.09,September
5.73,1.39,September
8.28,2.52,September
8.29,1.39,September
7.46,2.1,September
4.81,2.5,September
7.03,2.77,September
6.74,2.6,September
7.25,3.13,September
2.63,0.05,September
6.38,1.05,September
6.1,-0.49,September
6.17,-0.3,September
7.52,-0.82,September
6.29,-0.36,September
4.39,0.76,September
6.15,0.93,September
7.27,0.54,September
6.5,0.08,September
6.02,0.03,September
5.81,0,September
8.5,-0.96,September
6.14,-0.39,September
9.78,0.77,September
7.44,0.61,September
6.43,0.53,September
7.04,0.66,September
6.43,0.03,September
