측정소명,Rain ,WT,pH,DO ,BOD ,COD ,SS ,EC ,TN ,TP ,TOC 
고막원천2-1,88.38 ,16.0 ,7.6 ,10.4 ,3.0 ,7.2 ,37.6 ,237 ,2.555 ,0.123 ,5.4 
삼포천2,86.08 ,16.7 ,7.4 ,9.6 ,4.4 ,10.4 ,73.4 ,430 ,2.928 ,0.167 ,7.4 
영산포-1,90.81 ,16.6 ,7.6 ,9.7 ,4.4 ,8.2 ,18.4 ,318 ,4.183 ,0.119 ,6.2 
영산호2,86.06 ,15.9 ,7.8 ,9.1 ,2.1 ,6.7 ,18.1 ,793 ,3.124 ,0.067 ,3.9 
영산호3,86.06 ,17.4 ,8.1 ,11.1 ,2.9 ,7.6 ,25.8 ,376 ,3.326 ,0.082 ,4.3 
영암천,86.06 ,16.9 ,7.5 ,10.2 ,3.1 ,7.9 ,34.7 ,541 ,2.571 ,0.105 ,5.9 
