spot,BOD,COD,T_N,T_P
우치,2.2,5.7,2.577,0.092
산동,3.3,7.1,2.432,0.084
광주1,3.7,7.8,2.351,0.089
광주천1,4.7,5.7,9.052,0.057
방류수,2.4,6.3,12.556,0.143
월류수,67.4,,,
광주천2,5.7,9.4,5.1,0.132
광주2,8.4,9.8,9.222,0.138
광주3,6.6,9.7,9.154,0.183
황룡강1,0.3,3.9,1.642,0.03
황룡강2,0.4,5,1.71,0.049
황룡강4,3.2,6.1,2.218,0.04
황룡강5,3.1,6.3,1.883,0.067
광산,5.9,10,6.49,0.145
