spot,BOD,COD,T_N,T_P
우치,1.4,5.8,2.043,0.094
산동,1.4,6.8,2.085,0.107
광주1,2.1,6.6,2.012,0.104
광주천1,1.9,5.1,2.828,0.076
방류수,2.4,5.6,7.352,0.087
월류수,67.4,,,
광주천2,3.3,6.2,3.03,0.183
광주2,6.8,7.6,4.151,0.191
광주3,3.8,7.4,4.066,0.16
황룡강1,1.5,4.2,1.799,0.064
황룡강2,1.5,4.7,1.788,0.074
황룡강4,1.5,6.8,1.793,0.077
황룡강5,2.2,6.2,1.971,0.092
광산,4.4,7.7,3.223,0.146
