연도, 월, 조사회차, 채수 일자, 중권역 명, 측정소 명,BOD,Chl_a,COD,NH3_N,NO3_N,T_N,T_P
2020,2,4회차,2020.02.24,영산강상류,광주1,3.4,39.6,6.2,0.045,1.626,2.402,0.09
2020,2,4회차,2020.02.24,영산강상류,광주2,8.1,49.4,8.4,4.135,2.68,7.925,0.127
2020,2,4회차,2020.02.24,영산강상류,광주3,5.8,66.8,9.2,4.428,2.475,8.358,0.271
2020,2,4회차,2020.02.24,죽산보(영산강중류),광산,6.5,57.4,12,3.259,2.271,6.446,0.303
2020,2,4회차,2020.02.24,황룡강,황룡강5,2.2,17.1,5.6,0.124,1.563,2.147,0.058
2020,3,1회차,2020.03.02,영산강상류,우치,1.3,3.4,5,0.372,2.236,2.881,0.079
2020,3,1회차,2020.03.02,영산강상류,광주천2,3.3,10.1,6.4,0.776,4.184,5.225,0.082
2020,3,1회차,2020.03.02,영산강상류,광주1,2.4,20.3,5.8,0.186,1.667,2.536,0.093
2020,3,1회차,2020.03.02,영산강상류,광주2,4.5,28.3,7.2,5.907,2.58,9.815,0.111
2020,3,1회차,2020.03.02,영산강상류,광주3,5.2,35.9,7.3,5.794,2.428,10.12,0.11
2020,3,1회차,2020.03.02,죽산보(영산강중류),광산,5,27.9,7.9,2.012,2.144,4.507,0.109
2020,3,1회차,2020.03.02,황룡강,황룡강5,1.2,3.3,4.6,0.097,1.398,1.674,0.035
2020,3,1회차,2020.03.05,황룡강,황룡강2,0.1,6.6,2.8,0.048,1.286,1.426,0.022
2020,3,1회차,2020.03.06,영산강상류,광주천1,6.5,5.9,7.4,2.338,6.631,12.053,0.081
2020,3,1회차,2020.03.06,황룡강,황룡강1,0.2,4.2,3.2,0.043,1.011,1.163,0.017
2020,3,1회차,2020.03.06,황룡강,황룡강4,1.7,8.3,4.6,0.059,1.425,1.659,0.035
2020,3,1회차,2020.03.09,영산강상류,산동,4.9,25.6,9.3,0.036,1.537,1.966,0.053
2020,3,2회차,2020.03.09,영산강상류,우치,2.2,13.5,5,0.194,2.075,2.631,0.074
2020,3,2회차,2020.03.09,영산강상류,광주천2,7.6,25.4,9.9,1.596,3.61,5.745,0.147
2020,3,2회차,2020.03.09,영산강상류,광주1,4.5,49.6,8,0.28,1.274,2.261,0.074
2020,3,2회차,2020.03.09,영산강상류,광주2,16.1,51.3,11.9,4.794,1.65,9.579,0.095
2020,3,2회차,2020.03.09,영산강상류,광주3,15.8,70.6,12.5,5.251,1.923,9.024,0.295
2020,3,2회차,2020.03.09,죽산보(영산강중류),광산,6,31.5,9,3.58,2.698,7.135,0.15
2020,3,2회차,2020.03.09,황룡강,황룡강5,1.6,3.7,5.5,0.157,1.341,1.739,0.055
