Total_Code,피라미,참갈겨니,돌고기,배스,블루길,감돌고기,묵납자루,어름치
3006G050,42.55555556,1.833333333,4.833333333,0.5,0.111111111,2.611111111,0,0
3007G075,47.38888889,3.277777778,3.888888889,0.222222222,0.166666667,2.5,0,0
3008G005,41.78571429,6.214285714,3.357142857,0.142857143,0,4.642857143,0,0
3008G010,9.5,0,0,2,0.5,0,0,0
3008G015,9.714285714,0.071428571,0,6.857142857,6.5,0,0,0
3008G050,55.72222222,0.111111111,0.055555556,5.611111111,10.55555556,0,0,0
3008G055,0,14.5,4.5,0.5,0,0,0,0
3008G065,40.5625,8.5,4.125,1.25,1.1875,0,0,0
3008G075,0,0,0.25,6.75,45.5,0,0,0
3008G080,21.57142857,2.785714286,0,1.142857143,0.642857143,0,0,0
3008G085,20,0,0,0,2,0,0,0
3008G090,11,0.111111111,4.888888889,2.166666667,0.888888889,0,0,0
3009G081,53.16666667,0.555555556,1.5,1.222222222,0.166666667,0,0,0
3010G010,0.5,0,0.5,2,1,0,0,0
3010G020,80.1875,0,0.125,0.375,0.0625,0,0,0
3010G030,44,0.5,1.055555556,0.5,0.111111111,0,0,0
3011G088,10.16666667,0,0,1,0.777777778,0,0,0
3012G002,16.5,0,0.75,3.25,0.75,0,0,0
3012G004,6,0,0,4.5,0,0,0,0
3012G006,12,3,1,0,0,0,0,0
3012G010,20.61111111,0,0.166666667,0.833333333,0.055555556,0,0,0
3012G014,35.875,0,5.1875,1.5625,0,0,0,0
3012G016,140.9375,0,1.9375,0.3125,0.0625,0,0,0
3012G020,13,0,0,2.25,3.5,0,0,0
3012G022,7,0,0.75,5,0,0,0,0
3012G024,87,39.5,7.5,0,0,0,0,0
3012G046,26.9375,0,0.1875,3.5625,2.3125,0,0,0
3012G048,6.111111111,0,0.222222222,3.611111111,8.444444444,0,0,0
3012G052,23,0,0,0,2.5,0,0,0
3012G054,21.5,0,0,5,0,0,0,0
3012G072,43.5,0,0,0,0,0,0,0
3012G084,13.5,0,1.5,0,0.5,0,0,0
3012G086,9.25,0,0.25,4.75,0.75,0,0,0
3012G094,28,2,0,0,0,0,0,0
3012G096,18.61111111,0,0.111111111,3.388888889,0,0,0,0
3012G142,64.5,6,0,1,0,0,0,0
3012G146,4.5,0,0,1,0,0,0,0
3012G148,5.5,0,0,0.611111111,0.111111111,0,0,0
3012G152,9.5,0,0.5,0,0,0,0,0
3012G156,2.3125,0,0,0.9375,0.4375,0,0,0
3012G162,32.5625,0,0.625,7.8125,0,0,0,0
3012G168,17,0.5,0,0,0,0,0,0
3012G180,3.25,0,0,3.875,0.0625,0,0,0
3012G182,0,0,0,0,0,0,0,0
3012G204,2,0,0,2.5,0,0,0,0
3012G208,1.5,0,0,1.888888889,0,0,0,0
3013G054,0.5,0.166666667,0,3.222222222,0.055555556,0,0,0
3014G003,1.571428571,0,0,0.714285714,0,0,0,0
3014G015,0,0,0,4,0,0,0,0
3014G033,0,0,0,2,0,0,0,0
3014G039,1.5,0,0,1.555555556,0,0,0,0
3014G048,0,0,0,2.5,0,0,0,0
4001G002,44.375,45.1875,11.8125,0.3125,0,0,0,0
4001G004,36,18,0,0,0,0,0,0
4001G008,1,38.5,3,0,0,0,0,0
4001G010,44.3125,35.625,8.4375,0,0,0,0,0
4001G018,50.0625,28.3125,4.375,0,0,0,0,0
4001G024,73,52.25,7.875,0,0,0,0,0
4001G030,10.5,8.5,1.5,0,0,0,0,0
4001G032,46.5,32.4375,10.75,0,0,0,0,0
4001G036,53.14285714,14.64285714,7.071428571,0.071428571,0,0,0,0
4001G038,41.5,0,0,0,0,0,0,0
4001G040,67.25,24.875,15.8125,0.875,0,0,0,0
4001G048,36.8125,2.125,0.6875,0.4375,0,0,0,0
4001G050,66.9375,22.125,4.0625,2.75,1.6875,0,0,0
4001G054,37.83333333,0,0.166666667,3.944444444,6.777777778,0,0,0
4001G056,50.5,13,0,0,0,0,0,0
4001G062,11,23.5,2,2.5,0,0,0,0
4001G066,0,0,0,0,0,0,0,0
4001G068,0,27.91666667,0,0,0,0,0,0
4001G090,0,37.5,0,0,0,0,0,0
4001G094,29,41,0,0,0,0,0,0
4001G096,37,31.9375,4.75,1.1875,0,0,0,0
4002G005,21.5625,30,8.0625,4.8125,0.1875,0,0,0
4002G025,63.25,23.375,7,0.25,0,0,0,0
4002G030,42.5,37.16666667,9.055555556,2.388888889,0,0,0,0
4002G055,18.3125,26.5625,7.9375,0,0,0,0,0
4002G060,25.25,44.9375,17.625,0,0,0,0,0
4002G065,0,55.5,0,0,0,0,0,0
4002G070,23.77777778,37.61111111,13.88888889,0.055555556,0,0,0,0
4003G087,69.22222222,9.333333333,9.333333333,0.444444444,0,0,0,0
4004G003,34,0,0,0,0,0,0,0
4004G006,69.55555556,11.66666667,5.111111111,1.222222222,0,0,0,0
4004G012,27,0,4.5,0,0,0,0,0
4004G039,56.3125,1.1875,4.5,1.625,0.25,0,0,0
4004G042,62.125,10.4375,11.125,0.9375,0.25,0,0,0
4004G069,47.5,6.125,0,5.625,2.375,0,0,0
4004G072,28.75,0,4.75,5.6875,5.3125,0,0,0
4004G084,44.61111111,5.833333333,7.555555556,3.333333333,0,0,0,0
4005G081,70.16666667,6,4,1.055555556,0,0,0,0
4006G009,9.5,30.5,5.5,0,0,0,0,0
4006G015,49.5625,14.375,6.6875,2.9375,0,0,0,0
4006G018,0,37,0,0,0,0,0,0
4006G033,31.5625,0,0,1.5,0,0,0,0
4006G045,51.8125,20.5625,13.125,0,0,0,0,0
4006G048,0,6.5,0,0,0,0,0,0
4006G054,0,36,0,0,0,0,0,0
4006G057,0,37,1,0,0,0,0,0
4006G060,42.44444444,14.22222222,10.77777778,0.222222222,0,0,0,0
4008G069,32.44444444,20.83333333,7.944444444,0.888888889,0,0,0,0
4009G002,0,20,0,0,0,0,0,0
4009G004,0,28.91666667,0,0,0,0,0,0
4009G024,48.375,25,13.0625,0.125,0,0,0,0
4009G026,45.125,17.5625,8.1875,0,0,0,0,0
4009G048,68.5,7.3125,12.125,0,0,0,0,0
4009G056,13.5,2.5,0,0,0,0,0,0
4009G058,34.5,9.9375,7.0625,0.5,0,0,0,0
4009G066,14.5,20,0,0,0,0,0,0
4009G068,39.55555556,11.44444444,6.944444444,0,0,0,0,0
4009G072,0,23,0,0,0,0,0,0
4009G074,0,17,0,0,0,0,0,0
4009G080,39,14.5,9,0,0,0,0,0
4009G086,1.625,62.9375,1,0,0,0,0,0
4009G092,0,23.5,0,0,0,0,0,0
4009G094,39.5,0,6.428571429,0,0,0,0,0
4009G098,3,9,0,0,0,0,0,0
4009G100,0,128.5,0,0,0,0,0,0
4009G104,22.1,0.6,2.3,0,0,0,0,0
4009G106,8.625,0,0,0,0,0,0,0
4009G122,31.375,8.375,4.625,1.5,0,0,0,0
4009G138,18.5,0,0,0,0,0,0,0
4009G140,0,0,0,0,0,0,0,0
5001G002,10.0625,0.6875,11.25,0,0,0,0,0
5001G006,53.38888889,0,8.166666667,0,0,0,0,0
5001G008,21,0,2,0,0,0,0,0
5001G016,20,2,5,0,0,0,0,0
5001G022,31.8125,0,0.125,8.6875,3.625,0,0,0
5001G040,0,0,15,0,0,0,0,0
5001G042,12.44444444,0,0,7.666666667,8.722222222,0,0,0
5001G054,32.5,0,0,2,1.5625,0,0,0
5001G056,21.16666667,0,0,1.722222222,0.888888889,0,0,0
5001G062,31.8125,0,0,0.5625,0,0,0,0
5001G064,11.72222222,0,0,6.055555556,8.5,0,0,0
5001G068,0,0,0,7.5,37,0,0,0
5001G072,4.388888889,0,0,5.222222222,11.38888889,0,0,0
5001G074,0,0,0,3.5,27.5,0,0,0
5002G084,21.44444444,0,0,4.222222222,6.555555556,0,0,0
5003G005,0,0,0,4.75,19.25,0,0,0
5003G010,13.625,0,0,0.6875,1.9375,0,0,0
5003G015,7.277777778,0,0,4.166666667,7.5,0,0,0
5003G030,26.05555556,0,0,3.5,5.388888889,0,0,0
5003G035,32,0,0,3,16.5,0,0,0
5003G045,12.5,0,0,4.5,28,0,0,0
5003G060,28.125,0,0,5.4375,8.6875,0,0,0
5003G065,0,0,0,13,9.5,0,0,0
5003G070,28,0,8.5,1.5,0,0,0,0
5003G080,4.555555556,0,0,3.611111111,5.055555556,0,0,0
5003G085,0,0,0,1.5,0,0,0,0
5003G090,2.722222222,0,0,4.833333333,5.333333333,0,0,0
5004G094,15.72222222,0,0,5.166666667,3.833333333,0,0,0
5005G090,19.5,0,1.611111111,2.222222222,2.555555556,0,0,0
5006G015,7.6875,0,0.125,2.8125,4,0,0,0
5006G030,12.9375,0,0,8.75,6.3125,0,0,0
5006G033,0,0,0,0,0,0,0,0
5006G039,5.722222222,0,0,6.777777778,4.722222222,0,0,0
5006G042,0,0,0,0,0,0,0,0
5006G060,6.5625,0,0,1.875,0.125,0,0,0
5006G063,0,0,0,1,1.5,0,0,0
5007G060,0,0,0,8.5,1,0,0,0
5008G020,0,0,0,0.5,8.5,0,0,0
5008G030,3.222222222,0,0,3.555555556,2.611111111,0,0,0
