Total_Code,개똥하루살이,등줄하루살이,실지렁이,줄날도래,꼬마줄날도래,염주알다슬기
1001G002,191.0489433,8.09540625,44.64915556,24.98945741,8.097675926,0
1001G004,3.7,121.450744,6.710763657,31.0092919,691.3997088,0
1001G006,1.85,5.55,1.85,9.25,0,0
1001G008,13.05745,0,0,0,0,0
1001G012,3.7,9.25,18.5,815.85,0,0
1001G014,21.74793588,116.8484009,77.7489581,91.39434699,322.7232398,0
1001G024,28.45632708,98.8167544,151.7208808,60.62502894,199.2316854,0
1001G026,39.09470023,343.8314655,3.00837037,102.0173887,509.5535613,0
1001G036,86.74110556,209.2092171,172.7835072,114.9916074,319.614809,0
1001G038,77.97218264,152.7173699,18.9693037,83.96928981,271.1854317,0.231481481
1001G044,41.89012407,176.3339035,23.37821412,40.0213581,171.0031264,0
1001G046,68.97431852,145.0759306,52.54563495,120.5226296,376.4129155,0
1001G048,18.5,0,9.25,53.65,3.7,0
1001G050,94.87433889,142.5273979,12.2657956,117.0606433,114.5560671,0.694668981
1001G052,27.75,86.95,0,5.55,90.65,0
1001G056,116.4177539,3.240625,94.21611713,116.3430863,26.38072153,0
1001G060,49.95,72.15,20.35,11.1,79.55,0
1001G062,49.95,72.15,103.6,59.2,3.7,0
1001G064,123.3350475,225.3304345,29.84207639,53.66277546,179.072044,0.23125
1001G066,70.78836713,126.7537567,56.70677546,41.64886991,63.15635833,2.08125
1001G068,174.5893019,81.64312119,40.93756584,117.5899582,237.4600479,0
1002G092,93.19010844,97.51178045,4.320964403,75.2816216,73.65361008,0.616666667
1003G002,46.69335905,82.89624918,22.20205761,45.04867284,33.53190535,0.205555556
1003G016,22.68318426,141.3874766,10.41643981,80.03059352,370.9921796,0
1003G018,218.3,0,12.95,7.4,0,0
1003G022,233.1,9.25,3.7,14.8,22.2,0
1003G026,24.05,66.6,12.95,1.85,3.7,0
1003G028,9.022532407,4.626851852,15.50158102,0.4625,0.925231481,0
1003G034,55.82905093,37.03660185,90.26403472,57.59231968,29.16062338,0.2316875
1003G038,38.3900463,21.96875,20.12140741,5.0875,1.61875,0.2316875
1003G044,45.36178889,7.172913426,43.49425694,12.25671273,3.2375,0
1003G046,9.25,9.25,11.1,0,1.85,0
1003G054,42.80547037,62.48149282,19.4458588,108.4687315,123.9996447,0
1003G056,8.026400926,112.0197105,2.47075,28.39983457,33.0274429,0
1003G058,0,0,22.2,0,0,0
1003G062,11.1,53.65,0,1.85,14.8,0
1003G092,0,0,50,0,0,0
1003G102,54.43299222,28.13460111,27.39718519,7.40749,102.18133,0
1003G104,0,4.375,66.7962963,0,0,0
1003G106,0.205761111,0.205555556,206.4110919,0.411111111,1.027777778,0
1004G106,0,0.231481481,137.731482,0.231481481,0,0
1005G005,75.92592593,9.259259259,14.81481481,70.37037037,118.5185185,0
1005G015,183.5599402,60.64698787,196.9870479,316.657866,100.6944419,0
1005G030,36.57407308,598.7884224,15.04606491,81.47938035,1.157175944,0
1005G035,185.1851852,20.37037037,0,7.407407407,87.03703704,0
1005G045,152.0622685,263.5699074,80.55509236,78.93101852,57.86435185,0
1005G055,185.1851852,90.74074074,7.407407407,1.851851852,27.77777778,0
1005G060,110.8780024,588.5471635,5.786111204,159.9332788,230.7592533,0
1005G065,71.98935023,364.769907,54.39699074,240.4884221,228.2300869,0
1005G070,114.5805545,61.34120256,29.62569446,231.2420937,125.6942087,0
1005G075,38.77469012,104.113786,37.44855933,133.2954733,2.402263374,0
1006G080,153.4625401,79.21583698,35.99506173,455.9640005,18.10699547,0
1007G064,17.59259259,0,37.36111111,0,0,0
1007G066,87.72684468,38.19443912,27.77546019,154.3879417,43.98148148,0
1007G068,12.75720165,72.22222222,281.4351927,20.781893,0.617283951,0
1007G070,0.925925926,0,49.60648148,0,0,0
1007G072,180.6563763,1.439506173,55.55555608,7.407407407,14.6090535,0
1007G074,12.84958848,86.83127572,37.99300391,30.65843621,0,0
1007G076,57.40719206,2.880658436,100.4111111,0.823044856,0.823044856,0
1007G086,72.22222222,0,11.11111111,0,0,0
1007G090,0.625,0,123.6574074,0,0,0
1007G092,0,0,72.31481481,0,0,0
1007G094,131.4814815,0,0,0,33.33333333,0
1007G096,0.625,0,97.56944444,0,0,0
1007G098,918.4981369,0,48.88814815,13.70370477,3.3333336,0
1007G106,157.4074074,0,40.74074074,0,0,0
1007G108,12.34176955,112.1397119,10.64814815,106.3781893,50.61728395,0
1007G124,150.3816871,22.01646091,56.99588339,218.3121387,11.93415617,0
1007G162,70.56994141,2.674896914,118.3102893,49.99979405,8.43600823,0
1007G166,122.2222222,1.851851852,38.88888889,11.11111111,22.22222222,0
1007G168,5.787037037,0.462962963,68.37962963,0.462962963,0.3125,0
1007G170,3.125,0,28.21759259,0,0,0
1007G174,109.2592593,0,5.555555556,0,22.22222222,0
1007G178,14.81481481,14.81481481,12.96296296,14.81481481,7.407407407,0
1007G212,56.01597222,50.69444421,34.25624969,60.87962963,73.61111065,0
1007G214,6.995677383,0,42.59197533,0.617283967,0,0
1007G216,37.03703704,0,7690.740741,0,0,0
1007G220,48.14814815,0,75.92592593,1.851851852,11.11111111,0
1007G224,0,0,31.66666667,0,0,0
1007G228,274.0740741,0,31.48148148,24.07407407,31.48148148,0
1009G020,9.466511111,0,0.617283333,0.618783333,1.028188889,0
1010G004,9.32675,13.05745,5.59605,1.86535,0,0
1010G014,96.74320625,17.12336875,0,658.5593,31.014325,0
1010G016,18.6535,0,0,39.17235,7.4614,0
1010G020,0,0,0,9.32675,0,0
1010G040,7.4614,0,0,7.4614,3.7307,0
1010G044,1.86535,0,0,1.86535,0,0
1010G046,25.30861667,8.950608333,0.617283333,32.407375,35.18515,0
1010G056,35.18515,0,3.7037,0,0,0
1010G058,0,0,0,0,0,0
1010G060,4.86110625,0,0.23148125,0,0,0
1010G064,1.86535,0,27.98025,1.86535,0,0
1010G066,2.674894444,0,3.909461111,0.411522222,0.205761111,0
1011G010,13.4394125,15.2777625,0.92800625,163.1424375,54.1810125,0
1011G015,34.25529375,8.1641125,0,36.34255625,19.900675,0
1011G020,21.29326875,8.10184375,0.23148125,14.12035625,0.69444375,0
1011G025,13.19443125,37.0337625,0.69444375,176.374375,110.6427188,0
1011G030,39.71686667,2.263372222,2.674894444,119.9662278,1.646088889,0
1011G035,28.93515625,33.79464375,0.69444375,125.6920063,177.7776,0
1011G040,20.13886875,4.16596875,0.23148125,14.12035625,0,0
1011G065,3.7037,8.10045625,0.4629625,1.62036875,6.0185125,0
1011G080,30.78330625,39.12033125,2.08333125,74.9985375,63.4258625,0
1011G085,50.21431667,19.75333333,0.411522222,182.5202556,64.20332222,0
1011G090,66.15808125,14.12035625,0,68.28025625,37.962925,0
1012G048,19.21294375,1.38819375,0,0.6942125,1.1567125,0
1012G051,8.7962875,13.65739375,0,105.092025,40.50921875,0
1012G060,64.81475,5.55555,0,14.8148,5.55555,0
1012G063,5.59605,0,0,5.59605,0,0
1012G069,0.205761111,0,5.349377778,2.262138889,0,0
1012G072,0,0,0,0,0,0
1012G075,210.78455,3.7307,3.7307,0,16.78815,0
1013G003,1.61898125,0,17.12915,0,0,0
1013G006,1.86535,0,0,0,0,0
1013G018,0,0,2.08125,0,0,0
1013G021,9.32675,0,0,5.59605,0,0
1013G024,25.9259,7.4074,0,5.55555,0,0
1013G027,0.925925,2.777775,0,0.925925,0,0
1013G030,22.60900625,12.7284625,0.4629625,35.64464375,16.19651875,0
1013G036,70.8833,0,1.86535,0,0,0
1013G075,27.53355,33.7685125,1.15625,14.80346875,44.64026875,0
1013G078,31.71095,0,0,0,0,0
1013G081,8.635038889,0,6.993415638,1.438888889,1.644444444,0
1014G070,13.27159167,31.17280833,1.543208333,53.08636667,37.962925,0
