T_N
2.619
2.589
2.085
1.819
1.724
2.624
2.241
1.403
1.276
1.596
2.306
2.745
3.025
2.744
2.506
1.907
1.773
2.377
1.852
1.152
1.725
2.114
2.209
2.573
2.898
2.929
2.255
1.422
1.626
2.142
1.971
1.404
1.412
1.813
1.917
2.72
2.627
2.659
2.59
2.231
2.233
1.858
1.626
1.399
1.922
1.969
2.035
2.509
2.71
2.502
1.753
1.404
1.501
1.82
1.856
1.13
1.729
1.968
1.974
2.557
2.814
2.557
2.151
2.059
1.753
2.493
2.106
1.428
0.879
1.069
1.864
2.634
2.642
2.932
2.471
2.104
1.65
2.234
2.145
1.111
1.548
2.05
2.234
2.767
2.876
2.727
1.926
1.799
1.591
2.192
2.301
1.697
1.082
1.412
2.115
2.832
2.902
2.453
2.838
2.285
2.297
1.731
1.676
1.054
1.855
1.893
1.993
2.922
2.539
2.396
2.158
2.63
1.827
2.04
2.075
1.685
1.805
2.095
2.508
2.439
8.417
9.795
10.757
8.068
6.933
5.847
3.482
4.637
4.47
6.371
5.647
6.283
7.986
7.365
8.296
6.496
4.834
6.267
4.403
5.729
4.198
4.29
7.694
8.209
9.673
11.091
9.863
7.39
10.628
7.221
4.371
5.23
5.886
6.957
8.074
7.947
10.486
11.501
8.14
7.026
5.548
5.33
6.915
7.542
5.072
7.143
9.608
11.538
9.384
11.656
10.815
9.274
7.874
6.385
5.356
6.017
5.499
5.346
9.085
7.204
8.761
10.932
10.242
8.951
7.332
6.937
5.811
4.643
4.66
6.932
5.911
6.597
9.137
6.839
7.869
6.931
5.656
6.225
5.307
4.636
4.028
5.482
8.822
9.259
9.09
11.508
11.999
9.085
10.442
8.115
5.742
4.591
5.081
7.089
9.258
10.065
10.623
13.092
8.196
7.347
5.893
7.381
7.084
7.556
3.956
7.284
8.897
10.973
9.617
11.121
12.329
11.365
8.55
9.042
6.302
6.871
6.367
6.96
9.148
9.071
6.382
7.327
7.658
5.658
5.195
4.456
3.352
4.168
4.487
4.514
5.011
4.916
6.783
5.428
4.855
3.833
4.087
4.023
3.277
3.845
3.613
3.153
5.604
6.097
6.447
7.673
8.267
6.152
7.44
4.55
3.847
4.244
3.163
5.166
6.34
7.16
8.883
11.563
7.031
6.849
4.675
5.959
5.545
5.043
4.876
4.942
5.688
6.668
9.198
7.597
8.271
6.569
5.09
4.433
4.12
3.918
3.411
4.156
6.361
7.155
5.856
6.947
6.171
5.165
3.813
4.153
3.044
2.783
2.826
3.388
4.555
4.416
5.413
4.67
4.157
3.177
2.951
3.651
2.869
2.829
3.005
2.63
4.601
5.861
5.527
6.399
6.833
5.17
6.118
4.408
2.964
3.362
2.674
4.097
5.516
7.135
7.06
9.613
5.919
5.105
3.761
4.245
4.454
3.563
3.203
3.558
4.909
5.626
7.469
6.43
5.814
5.298
3.962
3.317
2.78
3.215
3.222
3.441
5.353
6.336
5.869
6.715
6.56
4.981
3.524
3.908
3.17
2.623
2.418
2.828
4.368
4.31
5.387
4.871
4.154
4.586
2.929
3.651
2.492
2.581
2.955
2.941
4.892
6.227
5.143
7.245
6.284
5.551
5.377
4.768
3.857
3.293
2.645
3.789
5.276
7.247
7.636
9.432
6.634
5.022
3.941
4.233
3.507
3.16
2.85
3.803
3.104
4.143
6.652
6.452
6.849
5.548
4.361
3.695
3.051
3.027
2.776
3.313
5.21
6.414
5.335
6.035
6.218
5.008
3.289
3.855
2.966
3.023
2.776
2.916
4.355
4.391
4.95
4.708
4.281
4.03
2.901
3.753
2.488
2.528
2.82
2.841
4.171
5.176
4.934
6.062
5.89
5.514
4.829
3.992
3.294
2.368
2.228
3.108
4.797
6.218
6.771
7.686
6.632
4.52
3.909
3.897
2.975
2.8
2.537
2.975
4.056
5.522
7.198
6.292
6.492
4.441
3.878
2.811
2.46
2.128
2.608
3.111
4.537
5.832
5.134
5.714
6.029
4.748
3.242
3.725
2.928
3.431
2.514
2.841
3.945
4.364
5.226
5.067
4.042
3.852
2.573
3.751
2.459
2.578
2.502
3.037
4.027
4.594
4.325
5.665
5.857
5.697
4.327
3.892
3.168
3.01
2.183
2.886
4.581
5.655
6.551
7.818
7.502
4.374
4.07
3.717
3.009
2.745
2.585
2.898
4.147
4.971
7.118
6.277
6.171
4.295
4.093
2.939
2.494
2.069
2.399
3.255
4.056
5.492
4.808
5.078
5.719
4.621
3.145
3.573
2.907
2.893
2.433
2.975
3.721
4.374
4.621
5.102
3.945
3.519
2.858
3.481
2.324
2.126
2.447
3.149
3.727
4.374
4.429
5.129
5.711
5.336
3.728
3.847
3.315
3.117
2.144
2.717
4.118
5.091
6.747
6.701
7.046
4.435
3.502
3.163
2.531
2.4
2.591
2.558
3.592
4.371
6.836
6.029
5.893
4.814
3.708
2.979
2.641
1.999
2.511
3.072
3.692
5.379
