조사월,측정지점,Rain ,WT,pH,DO ,BOD ,COD ,SS ,EC ,T-N ,T-P ,TOC 
9,영산포-1,137.81 ,24.3 ,7.3 ,8.0 ,3.2 ,6.7 ,17.6 ,180 ,2.402 ,0.116 ,4.8 
9,영산호2,140.40 ,25.2 ,7.2 ,6.0 ,1.8 ,6.6 ,26.6 ,289 ,2.164 ,0.096 ,4.0 
9,영산호3,140.40 ,25.4 ,7.4 ,7.1 ,2.1 ,7.2 ,40.2 ,203 ,2.288 ,0.118 ,4.0 
9,영암천,140.40 ,24.8 ,7.2 ,7.3 ,3.1 ,8.0 ,31.2 ,253 ,1.609 ,0.111 ,5.2 
10,고막원천2-1,90.38 ,17.9 ,7.6 ,9.9 ,2.7 ,6.8 ,43.1 ,218 ,2.020 ,0.123 ,4.9 
10,삼포천2,64.63 ,18.8 ,7.4 ,7.9 ,3.8 ,10.0 ,122.2 ,279 ,2.190 ,0.210 ,6.5 
10,영산포-1,91.31 ,19.4 ,7.6 ,8.8 ,3.6 ,7.0 ,22.6 ,241 ,2.975 ,0.115 ,5.1 
10,영산호2,85.83 ,20.8 ,7.3 ,7.4 ,1.8 ,6.3 ,26.2 ,358 ,2.272 ,0.099 ,3.6 
10,영산호3,85.83 ,20.9 ,7.7 ,8.7 ,2.3 ,7.1 ,35.5 ,243 ,2.506 ,0.105 ,3.7 
10,영암천,85.83 ,19.4 ,7.4 ,8.3 ,2.7 ,7.6 ,54.7 ,313 ,1.969 ,0.139 ,5.1 
11,고막원천2-1,64.12 ,11.0 ,7.5 ,11.9 ,2.4 ,6.0 ,26.7 ,248 ,2.533 ,0.110 ,4.6 
11,삼포천2,51.19 ,11.5 ,7.3 ,9.9 ,3.5 ,9.2 ,98.4 ,389 ,2.801 ,0.198 ,6.0 
11,영산포-1,61.44 ,12.9 ,7.6 ,10.3 ,3.7 ,6.8 ,17.9 ,344 ,4.122 ,0.100 ,5.3 
11,영산호2,64.63 ,15.1 ,7.4 ,7.7 ,2.2 ,6.1 ,31.6 ,475 ,2.601 ,0.075 ,3.5 
11,영산호3,64.63 ,14.9 ,7.8 ,9.7 ,3.0 ,6.8 ,44.3 ,293 ,2.739 ,0.089 ,3.5 
11,영암천,64.63 ,12.4 ,7.3 ,10.2 ,2.8 ,6.9 ,50.9 ,454 ,2.492 ,0.133 ,4.7 
12,고막원천2-1,48.02 ,5.7 ,7.7 ,13.3 ,2.5 ,5.7 ,19.0 ,272 ,2.957 ,0.087 ,4.0 
12,삼포천2,31.70 ,5.3 ,7.4 ,12.8 ,3.4 ,9.2 ,84.9 ,455 ,3.423 ,0.147 ,5.6 
12,영산포-1,43.10 ,7.7 ,7.7 ,11.8 ,3.7 ,7.1 ,14.5 ,376 ,4.636 ,0.108 ,5.1 
12,영산호2,51.19 ,8.5 ,7.8 ,11.0 ,1.8 ,5.8 ,16.1 ,739 ,3.263 ,0.061 ,3.5 
12,영산호3,51.19 ,7.5 ,7.9 ,13.1 ,2.2 ,6.0 ,23.9 ,366 ,3.931 ,0.071 ,3.7 
12,영암천,51.19 ,6.1 ,7.4 ,12.7 ,2.8 ,7.1 ,41.1 ,534 ,2.982 ,0.111 ,4.4 
