month,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Jan,9.394,10.877,17.917,12.756,14.46,14.604,14.244,12.206,7.81,9.14,9.133,10.185,10.047,6.91,8.59,6.382,6.783,6.447,8.883,9.198
Feb,10.076,11.76,13.667,12.384,12.6,15.804,15.108,15.374,12.648,10.905,8.685,9.84,10.854,5.196,9.945,7.327,5.428,7.673,11.563,7.597
Mar,16.24,5.746,14.11,7.128,11.988,11.604,11.88,11.387,13.512,9.066,6.074,8.284,11.88,5.986,7.798,7.658,4.855,8.267,7.031,8.271
Apr,14.368,24.168,7.653,9.36,21.456,16.728,14.88,11.226,13.92,9.393,5.468,7.168,6.231,7.251,6.001,5.658,3.833,6.152,6.849,6.569
May,16.384,13.689,7.768,6.702,8.856,18.42,12.07,11.815,8.64,8.784,4.752,4.286,5.233,6.011,5.056,5.195,4.087,7.44,4.675,5.09
Jun,9.576,14.361,9.726,6.732,10.506,8.58,8.388,8.16,8.784,5.266,4.518,4.502,6.126,5.309,4.824,4.456,4.023,4.55,5.959,4.433
Jul,8.366,7.269,6.8,4.968,8.88,7.704,5.028,6.135,10.195,3.92,3.466,3.963,3.144,3.683,4.409,3.352,3.277,3.847,5.545,4.12
Aug,5.515,5.567,4.447,6.012,6.228,6.408,12.864,4.427,5.124,3.713,3.225,2.94,2.642,3.594,2.728,4.168,3.845,4.244,5.043,3.918
Sep,3.389,8.846,3.618,3.282,7.5,11.616,6.972,3.858,8.726,4.571,2.651,3.579,2.434,3.376,3.807,4.487,3.613,3.163,4.876,3.411
Oct,7.853,8.435,6.366,7.812,9.864,6.276,12.734,4.355,7.366,6.771,4.784,6.369,3.375,5.121,4.258,4.514,3.153,5.166,4.942,4.156
Nov,10.781,10.67,9.228,9.024,10.326,10.968,13.626,5.922,8.41,6.486,6.398,6.197,5.328,5.973,4.942,5.011,5.604,6.34,5.688,6.361
Dec,10.286,13.456,10.362,8.094,13.128,10.404,14.471,3.944,8.694,7.941,8.161,6.326,5.182,6.544,5.31,4.916,6.097,7.16,6.668,7.155
