month,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Jan,3.777,3.205,12.8,3.931,5.16,11.319,11.53,3.62,3.271,4.296,3.629,3.12,3.329,3.011,3.818,2.586,4.346,3.456,2.32,3.67
Feb,8.287,2.653,2.564,2.771,3.43,11.193,5.338,5.228,3.534,3.336,3.108,2.189,2.876,2.2,2.711,2.538,2.991,2.966,1.727,2.891
Mar,7.941,4.269,3.02,2.867,3.077,5.724,7.301,8.945,1.915,3.369,2.954,2.7,1.704,2.367,1.736,1.833,2.69,2.628,1.53,2.648
Apr,12.606,11.606,4.626,2.992,2.209,1.77,11.574,6.788,2.243,3.953,2.841,1.795,2.054,1.74,1.693,1.412,2.292,1.865,1.667,1.851
May,3.37,12.716,5.906,3.27,5.697,2.106,11.397,6.307,2.203,4.35,2.58,1.828,1.202,1.221,1.504,1.499,1.916,2.267,1.205,1.92
Jun,2.186,7.171,6.545,3.465,1.668,4.177,0.214,3.155,1.994,2.851,2.526,1.945,1.261,1.717,1.386,1.412,1.709,1.832,1.406,1.713
Jul,4.785,2.843,4.408,1.41,2.97,2.232,3.018,2.58,1.9,2.266,2,1.698,1.7,1.788,1.412,1.443,1.537,1.475,1.805,1.657
Aug,1.731,7.257,2.376,2.064,1.893,1.746,0.035,3.602,2.433,2.398,1.323,1.639,1.325,1.423,1.44,1.178,1.307,1.256,1.369,1.959
Sep,1.493,6.069,2.794,2.034,2.729,3.43,5.286,2.911,2.333,3.44,1.954,1.54,1.691,1.726,1.746,1.809,1.987,1.586,1.399,1.676
Oct,3.129,6.222,2.579,3.848,3.813,3.886,8.363,3.894,2.793,3.799,3.251,3.712,2.163,2.948,2.418,2.416,1.596,2.243,2.12,2.453
Nov,4.118,8.907,5.666,3.726,4.903,5.698,9.374,4.787,5.03,4.29,4.019,3.733,3.241,2.981,2.698,1.803,3.219,3.181,2.168,2.643
Dec,3.082,3.214,2.839,3.082,8.617,4.054,9.039,1.64,5.348,4.701,3.976,3.813,2.969,3.441,2.458,2.644,3.227,2.728,3.237,3.194
