month,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Jan,12.3,11.6,11.1,11.4,11.2,8.8,12.6,10.6,11.6,11.6,12.5,12.3,14.8,11.7,13.3,11.9,12.8,13.1,13.5,12.5
Feb,10.4,11.8,11.8,11.1,12.5,6.6,13.5,9.6,12.4,10.3,10.2,10.3,12.2,11,12.3,12.6,12,13.8,13.3,12.4
Mar,11.6,11.6,11.6,10.6,8.4,6.7,11,8.2,9.6,8.7,10,11,10.9,12.4,10.3,12,10.4,14.8,7.8,10.4
Apr,9.3,14.5,9.3,10.5,7.6,8.2,5.8,9.2,8.6,8,9.9,10.7,10.9,10.1,7.5,7.5,10,10.5,8.2,9
May,6.5,6.8,7.5,6.2,4.7,6.4,9.5,7.8,8.4,7.1,7.8,9.9,10.7,10.2,9.8,6.4,9.4,8.6,8.3,8.1
Jun,11.5,9.3,11.5,7.3,7.6,5.2,5.3,9.4,6.2,7.5,6.6,7.5,12,7.7,9.3,6.8,7.2,8,7.7,6.5
Jul,9.8,7.1,6.1,7.9,6.6,6.1,11.2,6.5,5.8,7,7,7.3,10.2,7.1,7.1,7.1,6.5,4.6,9.2,5.7
Aug,5.7,8.3,6.6,7.4,6,6.8,5.7,5.8,8.4,6.5,6.3,8,6.5,7.1,7.5,6.7,4.3,3.3,9.7,7.6
Sep,7.7,11.7,7.1,7.2,5.7,6.9,7.6,7.1,8,7.5,7.3,9.5,8.8,8.5,8.6,8.1,6.8,8.4,6.9,7.8
Oct,8.7,5.9,8.4,7.7,7.9,7.2,8.4,7.6,8.3,8.7,8.5,11.5,9.7,9.5,9.6,8.9,7.1,8.4,8.7,10.2
Nov,12.5,7.3,8.4,11.3,9.8,10.4,8.2,8.7,9.7,9.5,8.6,10.9,9.1,10.4,11.5,5.8,10.8,12.3,9.7,10.3
Dec,11.6,9.8,11.3,9.6,9.2,9.6,10.4,9.7,11.3,10.9,11.8,13,12.1,11.2,9.9,9.2,10.9,12.2,11.7,13.1
