month,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Jan,7,7.2,7.6,7.2,7.1,7.7,6.9,7.9,7.7,7.2,7.2,7.1,7.7,7.1,7.5,6.9,7.2,7,7.2,7.8
Feb,7.2,7.2,7.5,7.5,6.9,7.5,7.6,7.6,7.4,7.2,7.2,7,7.5,7.2,7.6,7.1,7.1,7.2,7.5,7.8
Mar,7.3,7,8,7.3,7.4,7.4,7.2,7.6,7.4,7.3,7.3,7.6,7.6,7.5,7.6,7.4,7.2,7.5,7.3,7.8
Apr,7.6,8,7.4,7.3,7.6,7.4,8.1,7.9,7.3,7.2,7.3,7.7,7.8,7.6,7.4,7.2,7.2,6.8,7.4,8.3
May,7.5,7,7.2,7.3,7.4,7.5,8.1,7.9,7.2,7.4,7.1,7.7,7.7,7.8,7.6,7,6.9,7.2,7.5,7.6
Jun,8,7.5,8,7.2,6.3,7.3,8.3,8,6.8,7.3,7,7.3,8.1,7.2,7.8,6.7,6.9,7.1,7.6,7.9
Jul,7.5,7.6,7.2,7.2,7.4,7.1,7.9,7.4,7,6.8,7,7.5,7.7,7.4,7.6,7.5,6.9,6.4,8,7.7
Aug,7,6.9,7.1,7.4,7.4,7.4,7.9,7.8,7.5,7.4,7.2,7.1,7.2,7.7,7.1,7.3,6.8,6.6,8,7.6
Sep,7.1,7.7,7.3,7.1,7.4,7.1,7.9,7.8,7.3,7.3,7.3,8.1,7.5,7.8,7.4,7.2,7,7,7.3,7.4
Oct,7.2,6.9,7.6,7.3,7,7.3,8.2,7.2,7.3,7.3,7,7.7,7.1,7.5,7.4,7,6.5,7.1,7.3,7.8
Nov,7.8,6.9,7.4,7.9,7.6,7.4,7.5,7.3,7.5,7.1,7.2,7.4,7.3,7.7,7.4,6.7,7,7.6,7.8,7.7
Dec,7.2,7.3,7.5,7.4,7.4,7.4,7.6,7.8,7.2,7,7.2,7,7.3,7.4,6.9,6.6,7,7.8,7.9,7.7
