month,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Jan,6.7,9.4,8.7,8.7,4.7,6.7,4,6.5,5.5,7.6,9.4,8.7,9.7,7.4,7,5,5.4,7.2,11.6,9
Feb,9.6,7,7.5,9.1,6,7.5,4.1,6.3,7.4,7.8,10.4,9.9,11.1,6.2,9.9,6.5,5.8,9.1,11.8,14.1
Mar,9.8,6.2,8.3,6.3,6.4,8.6,2.8,6,13.2,10.9,8.3,10,12.2,10.4,10.6,10,7.4,12.4,11.1,12.5
Apr,11.7,11.6,4.7,12.2,9.6,8.9,5.7,6.8,16.6,11.7,10.3,13.4,11.7,9.7,9.1,8.9,7.9,11.7,10.9,12.9
May,12.8,10.6,8.3,7.3,5.7,6.9,6,7,14,12,8.7,8.8,11.8,12.7,10,8.4,7.6,12.6,10.7,10.3
Jun,15.1,13.2,7.7,9.1,9.2,10.2,7,10.5,8.1,11.8,8.1,9.5,13.7,11.2,9.5,8.3,7.8,14.1,11.6,13.5
Jul,10.8,6.3,4.8,2.9,6.1,5.4,0.8,7.2,6.3,7.3,9.4,8.8,10.2,7.5,9.4,8.3,6.9,9.1,12.5,10.2
Aug,9.3,8.9,6.6,3.3,4.9,2.9,6.8,5.4,6.9,5.4,6.9,5.5,8.5,9.3,7,7.6,8.6,8.8,12.9,10
Sep,6.9,7.5,6.5,4.3,5.2,5.4,4,4.8,7.1,6,5.9,8,5.5,7,7,7.1,7,7.9,8.7,7.1
Oct,7.8,5.1,9.2,4.5,4.8,4.3,4,5.3,6.9,6.6,6.4,8.4,6.5,7.4,6.9,7.1,5.9,8.3,7.9,6.5
Nov,10,7.4,12.7,4.2,5.4,5.7,6.6,5.4,8,6.9,7.7,8.2,6.6,7.2,6.5,6.6,6.6,9.8,9.7,8.5
Dec,8.4,9.6,7.2,6.9,7.1,6.2,7.6,6.6,8.4,7.4,8.9,5.9,6.6,6.6,4.8,5.2,7.3,9.2,8.4,10.5
