month,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Jan,6.2,11.5,6.1,5.5,6.1,7.2,6.9,7.9,5.2,5.1,5.9,5.7,5.6,3.5,3.9,2.5,2.6,4,6.4,4.7
Feb,7.1,11.9,5.9,8.9,9.6,5,7.4,10.8,6.4,8,6.3,6.5,6.3,3.3,6.5,4.3,3.5,5.5,6.1,6.6
Mar,9.1,4,8,7.7,11.9,13.6,5.9,8.1,9.4,9.3,5.6,6.3,7.1,5.7,7,6.9,4.8,6.8,6,6
Apr,13.3,8.9,6.2,14.4,13.2,15.5,9.2,9.6,10,10.1,6.9,10.8,6.5,5.1,7,5.6,5.4,7.3,5.7,6
May,11.4,14.7,7.3,5.4,10.9,5.2,11.7,12.4,8.5,9.2,5.2,6.5,6.8,6.4,6.5,6.3,4.5,5.9,6.2,4.8
Jun,9.2,20.3,12.6,4.9,6,9.9,13.2,11.2,6.3,7.3,5.1,6.8,7.6,5.3,5.1,5.3,4,6.9,6.6,6.4
Jul,10.5,5.8,5.5,4.1,13.3,4.9,3.7,5.9,2.7,4.9,4.5,5.6,4.9,4.3,5.2,4.2,3.9,3.9,7,4.1
Aug,7.7,5.3,5,3,7.6,5.3,4.8,4.9,2.9,3.6,3.9,2.8,4.7,4.4,3.7,4.3,4.5,3.8,6.7,4
Sep,2.5,9.2,4.1,2.4,8.3,6.9,6.2,3.3,2.6,2.9,3.3,5.7,1.8,3.9,4.2,4.4,4.1,3.7,4.8,3.8
Oct,4.7,7.1,4,4.9,2.5,5.2,4,3.2,3.7,4,3,5.4,3.5,4,4.4,4.3,3,4.9,4.9,3.9
Nov,9.7,5.4,7.4,5.4,6.6,10.4,5.9,3.6,5.9,3.8,4.4,5.4,3,6,4.1,4.2,3.8,5.3,5.1,5
Dec,7.8,7.6,4.6,5.3,8.5,6.2,5.4,4.1,5.4,4.1,5.6,2.7,3.5,4.1,2.9,2.3,4.1,5.4,4,6.1
