month,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Jan,4.8,14.8,6.4,5.2,6.4,0.8,16,23.2,8.9,11.8,9.9,23.9,16.9,5.8,8.1,6.4,5.1,9,13,10.1
Feb,6,10,3.6,5.2,8,4.4,24.8,17.9,7,15.5,16.7,27.3,13.8,8.2,15.1,6.7,8.6,14.7,14.1,19.1
Mar,11.6,16.8,12.8,20.8,9.2,9.2,16.8,23.3,15.9,20.4,15.9,34.7,16,16.9,11.1,13.4,19.5,16,25.3,12.2
Apr,35.2,17.2,28.8,30.8,6.8,35.6,9.2,22.2,33.6,22.2,25.6,39.4,16.4,10.1,12.4,12.5,12.8,9.9,47.7,29.8
May,30.8,18,17.6,20.8,21.6,47.6,34.4,30.1,44.4,21.4,19.4,34.2,12.8,11,15.4,11.5,10.1,11,36.6,13.3
Jun,41.6,20,16.4,26.4,18,200,26,31.3,57.5,20.4,31.5,36.4,13.7,11.8,13.5,13.2,7,13.7,24.4,14.3
Jul,20.4,12,16.8,31.2,18.8,50,28.4,23.5,36.1,9.3,39.1,111.5,21.8,14.3,12.8,9.6,10.7,10.3,43.6,14.9
Aug,23.6,9.6,14,9.2,22,24.4,13.2,20.6,13.7,19.2,43.5,16.1,17.4,10.6,29.7,10.6,9.7,13.7,23.2,19.7
Sep,16.8,16,16,25.6,27.2,18.4,9.2,9.4,12.6,9.4,18.1,10.2,11.2,6.7,8.6,8.7,9.1,10.5,10.3,8.8
Oct,9.6,8.4,11.2,8.8,5.6,11.6,9.2,10.6,12.8,7.7,11.6,11,8.7,9.6,9.5,9.4,11.8,10.1,9.5,10.3
Nov,18,6.8,17.2,13.6,6,14.8,0.4,6.9,19.3,10.3,24.7,22.4,5.4,14,10.4,5.9,8.7,13.7,10.6,8.7
Dec,10.8,39.6,11.2,6.8,4,5.2,11.2,6.2,17,11,35.5,5.5,9.5,6.2,5,3.3,10,17.3,9.5,14
