SS,T-P
15.9,0.099
14.3,0.096
20.5,0.103
16.6,0.11
21.2,0.109
25.6,0.103
21.9,0.139
21.6,0.19
16.7,0.135
17.6,0.117
13.1,0.098
9.5,0.129
15.9,0.104
15,0.139
19.6,0.118
12.8,0.096
22,0.097
22.8,0.135
20.9,0.138
23.2,0.181
11.6,0.135
27.5,0.196
11.6,0.102
7.7,0.091
6.9,0.094
23.6,0.111
12,0.085
11,0.134
12.1,0.066
20.1,0.092
17.1,0.135
22.8,0.159
12.8,0.1
11.8,0.078
12.5,0.073
7.8,0.071
20.3,0.159
13.6,0.12
8.6,0.118
19.2,0.1
15.7,0.097
14.4,0.097
19,0.116
16.4,0.154
18.7,0.095
16.7,0.128
18,0.136
23.1,0.159
20.9,0.13
18.6,0.157
15.5,0.127
17.9,0.16
13.9,0.151
20.7,0.112
16.8,0.116
15.7,0.113
11.4,0.12
11.9,0.075
16.5,0.051
5.7,0.091
