d15N,d18O,round
8.22,4.79,round11
9.67,4.28,round11
8.64,5.61,round11
10.41,3.55,round11
8.13,4.69,round11
10.73,5.16,round11
8.43,4.52,round11
13.02,4.28,round11
10.99,4.58,round11
8.61,4.58,round11
9.18,4.43,round11
11.63,3.26,round11
3.79,2.09,round12
4.98,1.2,round12
4.98,1.47,round12
2.75,2.54,round12
4.99,1.62,round12
5.13,1.68,round12
6.46,2,round12
9.15,2.52,round12
7.09,2.09,round12
5.73,1.39,round12
8.28,2.52,round12
8.29,1.39,round12
7.46,2.1,round12
4.81,2.5,round12
7.03,2.77,round12
6.74,2.6,round12
7.25,3.13,round12
2.63,0.05,round12
6.38,1.05,round12
6.1,-0.49,round12
6.17,-0.3,round12
7.52,-0.82,round12
6.29,-0.36,round12
4.39,0.76,round12
6.15,0.93,round12
7.27,0.54,round12
6.5,0.08,round12
6.02,0.03,round12
5.81,0,round12
8.5,-0.96,round12
6.14,-0.39,round12
9.78,0.77,round12
7.44,0.61,round12
6.43,0.53,round12
7.04,0.66,round12
6.43,0.03,round12
4.37 ,1.06 ,round13
6.40 ,2.48,round13
5.54 ,1.69 ,round13
5.17 ,1.58,round13
5.75 ,3.51 ,round13
5.46,-0.3,round13
5.83,3.65 ,round13
8.41,1.85,round13
10.27,3.79 ,round13
4.99,-1.19,round13
9.95,3.94 ,round13
9.7,3.94,round13
8.44,7.09 ,round13
8.01,2.19,round13
10.1,5.42 ,round13
10.86,2.88,round13
9.3,5.83 ,round13
7.83,-0.55,round13
10.51,4.85 ,round13
10.05,5.1,round13
10.08,3.78 ,round13
10.44,2.35,round13
9.59,5.07 ,round13
7.98,2.72,round13
8.73,5.89 ,round13
10.42,1.32,round13
12.12,4.95 ,round13
9.37,2.36,round13
10.06,5.44 ,round13
9.86,3.42,round13
10.16,5.15 ,round13
8.08,3.15,round13
6.94,5.23 ,round13
10.95,6.71 ,round13
8.78,2.95 ,round13
10.64,4.31 ,round13
5.30 ,3.01 ,round14
4.89 ,1.86 ,round14
5.70 ,2.30 ,round14
4.66 ,2.84 ,round14
6.17 ,2.82 ,round14
7.22,2.53 ,round14
6.56,2.45 ,round14
10.25,7.06 ,round14
9.7,5.74 ,round14
8.28,1.69 ,round14
10,3.95 ,round14
7.91,2.34 ,round14
10.02,3.95 ,round14
8.62,3.80 ,round14
9.9,4.57 ,round14
10.37,3.36 ,round14
9.3,4.78 ,round14
4.11,0.88 ,round14
9.08,4.32 ,round14
10.59,4.21 ,round14
9.73,4.36 ,round14
12.48,2.47 ,round14
9.1,4.71 ,round14
6.28,8.36 ,round14
9.08,5.62 ,round14
12.37,3.18 ,round14
9.59,5.23 ,round14
8.7,3.55 ,round14
9.44,4.88 ,round14
10.81,2.67 ,round14
9.4,6.24 ,round14
11.16,3.64 ,round14
12.38,2.50 ,round14
10.89,3.90 ,round14
9.91,4.82 ,round14
10.21,4.73 ,round14
