d15N,d18O,site
9.07,2.54,JS-29
13.35,3.66,JS-30
9.42,2.26,JS-31
9.68,2.73,JS-32
5.7,4.75,JS-33
9.36,2.82,JS-34
10.91,6.07,JS-35
9.63,2.47,JS-36
4.04,3.23,JS-01
4.16,3.24,JS-02
4.56,3.31,JS-03
3.74,3.08,JS-04
4.84,3.06,JS-05
5.85,3.45,JS-06
5.44,3.11,JS-07
6.88,4.84,JS-08
6.38,4.01,JS-09
5.6,3.19,JS-10
7.77,4.05,JS-11
5.33,2.58,JS-12
6.31,3.55,JS-13
6.58,3.86,JS-14
6.33,4.24,JS-15
7.76,3.75,JS-16
6.59,4.16,JS-17
5.72,3.28,JS-18
6.53,3.1,JS-19
7.25,2.84,JS-20
7.18,3.1,JS-21
7.13,2.15,JS-22
7.25,3.07,JS-23
6.62,3.69,JS-24
6.96,2.81,JS-25
7.96,2.08,JS-26
7.24,3.14,JS-27
7.14,3.58,JS-28
6.6,2.85,JS-29
8.79,2.52,JS-30
6.78,3,JS-31
9.19,3.3,JS-32
8.93,2.5,JS-33
6.89,2.83,JS-34
8.34,3.67,JS-35
7.51,2.96,JS-36
6.48,4.31,JS-01
7.12,2.07,JS-02
7.98,3.39,JS-03
7.23,2.39,JS-04
7.29,5.72,JS-05
6.94,4.21,JS-06
8.08,4.28,JS-07
11.84,8.41,JS-08
9.56,7.55,JS-09
9.84,3.75,JS-10
9.8,5.49,JS-11
7.64,3.6,JS-12
8.89,4.53,JS-13
8.78,3.66,JS-14
8.91,3.92,JS-15
8.86,3.47,JS-16
9.4,3.55,JS-17
10.18,2.07,JS-18
9.58,3.37,JS-19
9.19,3.42,JS-20
10.18,2.82,JS-21
18.36,-1.54,JS-22
9.26,2.59,JS-23
7.7,2.22,JS-24
8.88,3.25,JS-25
7.78,2.31,JS-26
10.16,5.48,JS-27
6.4,4.04,JS-28
8.77,4.63,JS-29
13.99,6.17,JS-30
9.02,4.45,JS-31
9.96,4.86,JS-32
10.63,2.47,JS-33
9.52,4.3,JS-34
9.29,4,JS-35
10.68,3.97,JS-36
7.02,1.72,JS-01
10.19,4.17,JS-02
9.24,4.72,JS-03
6.89,0.98,JS-04
9.21,2.58,JS-05
8.05,1.92,JS-06
9.14,2.24,JS-07
8.84,11.7,JS-08
9.59,7.67,JS-09
9.7,-0.45,JS-10
8.35,8.55,JS-11
7.25,2.76,JS-12
7.76,6.5,JS-13
7.51,2.52,JS-14
7.41,4.71,JS-15
7.64,5.69,JS-16
7.67,5.16,JS-17
8.68,2.03,JS-18
8.79,4.2,JS-19
11.42,2.79,JS-20
9.89,2.56,JS-21
17.27,2.92,JS-22
10.08,3.24,JS-23
7.85,3.26,JS-24
9.86,2.83,JS-25
9.98,3.92,JS-26
9.65,3.86,JS-27
10.56,3.04,JS-28
9.46,5.88,JS-29
13.92,6.38,JS-30
10.47,4.58,JS-31
10.58,2.88,JS-32
10.77,0.17,JS-33
10.85,4.29,JS-34
10.58,2.82,JS-35
11.38,3.18,JS-36
6.82,2.14,JS-01
9.64,5.64,JS-02
8.95,4.49,JS-03
6.06,1.17,JS-04
8.14,2.14,JS-05
8.14,2.48,JS-06
8.52,2.49,JS-07
11.91,12.7,JS-08
11.4,7.81,JS-09
10.39,2.93,JS-10
9.13,8.59,JS-11
9.24,4.13,JS-12
9.93,6.68,JS-13
9.4,4.03,JS-14
9.16,6.76,JS-15
9.92,5.32,JS-16
9.57,4.54,JS-17
8.37,2.06,JS-18
7.99,4.23,JS-19
10.21,3.52,JS-20
8.97,2.99,JS-21
14.28,2.68,JS-22
8.2,3.7,JS-23
8.46,3.57,JS-24
8.22,4.79,JS-25
9.67,4.28,JS-26
8.64,5.61,JS-27
10.41,3.55,JS-28
8.13,4.69,JS-29
10.73,5.16,JS-30
8.43,4.52,JS-31
13.02,4.28,JS-32
10.99,4.58,JS-33
8.61,4.58,JS-34
9.18,4.43,JS-35
11.63,3.26,JS-36
3.79,2.09,JS-01
4.98,1.2,JS-02
4.98,1.47,JS-03
2.75,2.54,JS-04
4.99,1.62,JS-05
5.13,1.68,JS-06
6.46,2,JS-07
9.15,2.52,JS-08
7.09,2.09,JS-09
5.73,1.39,JS-10
8.28,2.52,JS-11
8.29,1.39,JS-12
7.46,2.1,JS-13
4.81,2.5,JS-14
7.03,2.77,JS-15
6.74,2.6,JS-16
7.25,3.13,JS-17
2.63,0.05,JS-18
6.38,1.05,JS-19
6.1,-0.49,JS-20
6.17,-0.3,JS-21
7.52,-0.82,JS-22
6.29,-0.36,JS-23
4.39,0.76,JS-24
6.15,0.93,JS-25
7.27,0.54,JS-26
6.5,0.08,JS-27
6.02,0.03,JS-28
5.81,0,JS-29
8.5,-0.96,JS-30
6.14,-0.39,JS-31
9.78,0.77,JS-32
7.44,0.61,JS-33
6.43,0.53,JS-34
7.04,0.66,JS-35
6.43,0.03,JS-36
4.37 ,1.06 ,JS-01
6.40 ,2.48,JS-02
5.54 ,1.69 ,JS-03
5.17 ,1.58,JS-04
5.75 ,3.51 ,JS-05
5.46,-0.3,JS-06
5.83,3.65 ,JS-07
8.41,1.85,JS-08
10.27,3.79 ,JS-09
4.99,-1.19,JS-10
9.95,3.94 ,JS-11
9.7,3.94,JS-12
8.44,7.09 ,JS-13
8.01,2.19,JS-14
10.1,5.42 ,JS-15
10.86,2.88,JS-16
9.3,5.83 ,JS-17
7.83,-0.55,JS-18
10.51,4.85 ,JS-19
10.05,5.1,JS-20
10.08,3.78 ,JS-21
10.44,2.35,JS-22
9.59,5.07 ,JS-23
7.98,2.72,JS-24
8.73,5.89 ,JS-25
10.42,1.32,JS-26
12.12,4.95 ,JS-27
9.37,2.36,JS-28
10.06,5.44 ,JS-29
9.86,3.42,JS-30
10.16,5.15 ,JS-31
8.08,3.15,JS-32
6.94,5.23 ,JS-33
10.95,6.71 ,JS-34
8.78,2.95 ,JS-35
10.64,4.31 ,JS-36
5.30 ,3.01 ,JS-01
4.89 ,1.86 ,JS-02
5.70 ,2.30 ,JS-03
4.66 ,2.84 ,JS-04
6.17 ,2.82 ,JS-05
7.22,2.53 ,JS-06
6.56,2.45 ,JS-07
10.25,7.06 ,JS-08
9.7,5.74 ,JS-09
8.28,1.69 ,JS-10
10,3.95 ,JS-11
7.91,2.34 ,JS-12
10.02,3.95 ,JS-13
8.62,3.80 ,JS-14
9.9,4.57 ,JS-15
10.37,3.36 ,JS-16
9.3,4.78 ,JS-17
4.11,0.88 ,JS-18
9.08,4.32 ,JS-19
10.59,4.21 ,JS-20
9.73,4.36 ,JS-21
12.48,2.47 ,JS-22
9.1,4.71 ,JS-23
6.28,8.36 ,JS-24
9.08,5.62 ,JS-25
12.37,3.18 ,JS-26
9.59,5.23 ,JS-27
8.7,3.55 ,JS-28
9.44,4.88 ,JS-29
10.81,2.67 ,JS-30
9.4,6.24 ,JS-31
11.16,3.64 ,JS-32
12.38,2.50 ,JS-33
10.89,3.90 ,JS-34
9.91,4.82 ,JS-35
10.21,4.73 ,JS-36
