사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202209,2호선,방배,3,0,2457,2674,8754,10725,22495,26003,31195,77516,24697,56001,19118,33304,20171,25083,22841,26020,24755,23730,28788,23592,32223,22940,39144,24491,46450,31687,65757,36283,30409,26573,22644,16325,21967,15057,17911,15710,7001,9677,1406,2596,11,32,0,0,0,0,20221003
202209,2호선,봉천,82,1,14638,1547,26802,6902,79406,11995,117369,25751,68357,20416,39701,18053,31300,19814,33429,22382,32507,25227,28100,27035,27493,33891,31686,40238,29908,51686,32217,81147,19027,69066,14928,42088,12966,39627,10170,38289,3919,23123,756,7509,6,279,0,0,0,0,20221003
202209,2호선,사당,114,2,11759,3960,26079,30058,73111,45125,101994,65614,75170,51297,47697,41418,42075,47763,48475,50016,49509,48086,52491,48688,54660,58715,60429,76508,73264,110121,89092,157862,61295,109353,56926,64471,60264,61550,57913,61858,32515,39054,5482,11105,34,718,0,6,0,0,20221003
202209,2호선,삼성(무역센터),193,3,4327,4853,6811,39205,14347,126977,19112,312587,19597,225186,22130,100317,32885,71571,42068,66711,55822,75591,67586,63847,88101,54681,113146,53705,203015,58768,284558,59488,142739,32972,103770,16245,88690,13581,62609,12178,18062,6162,2592,3645,12,941,0,8,0,0,20221003
202209,2호선,상왕십리,46,2,5307,572,12976,5805,39182,12256,62556,31775,33710,17552,21123,12665,18657,12010,20154,13937,18759,15294,17366,16165,18311,19447,20885,24360,25284,32021,26831,49763,17162,33579,11876,21154,10085,20295,7342,20002,2813,12674,505,4137,2,37,0,0,0,0,20221003
202209,2호선,서울대입구(관악구청),4094,16,26381,2526,41293,14275,121911,29082,170442,69036,112751,63946,65148,52755,56294,44146,62519,49530,66842,54564,60009,53917,64586,62697,72314,74851,85445,101080,91097,165137,54921,137747,45399,81171,46352,76376,40057,76253,21420,48923,3642,18175,18,3029,0,12,0,0,20221003
202209,2호선,서초,41,1,1502,4951,8168,19572,16151,50018,26111,109408,26987,87477,19945,39110,25682,29560,24376,23029,31097,25392,32092,23738,40202,20095,47549,22136,71737,24233,92759,26096,41638,17898,28076,10212,28538,9649,18836,9795,6240,5332,897,1462,2,12,0,1,0,0,20221003
202209,2호선,선릉,119,2,4429,6113,10345,38574,20884,107685,31873,266633,29578,209626,33358,97509,42814,59223,51866,54519,59958,60240,69432,49764,90168,44010,112590,44401,182378,50654,273797,54287,131862,34100,82094,20248,77791,17127,69401,17088,25867,9969,4267,3969,12,144,0,0,0,0,20221003
202209,2호선,성수,71,1,5317,3822,9137,27729,23045,73173,30696,248066,22182,142033,19524,57235,22294,44341,27399,46433,32366,50747,38690,47799,46931,47457,61214,50391,112896,56270,216662,66179,98268,40239,64357,19947,61498,15608,46420,14411,19441,10310,3127,5437,22,1011,0,1,0,0,20221003
202209,2호선,시청,50,0,893,1548,1965,17073,4818,59628,7328,195215,9655,81040,12536,26251,19075,23693,19592,23058,24131,24382,29642,21903,36318,19603,43091,17278,85316,19319,154726,20424,51521,10029,38196,6018,36615,5787,23536,5181,10002,3896,1484,1210,5,66,2,3,0,0,20221003
