number,site,month,pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain
44,公救1,Aug-18,8.4,8.6,29.1,256,2.7,13,48.3,1.771,0.213,4.9,1578,0.137,0.085,85.4,589,17.23,246.2
45,公救1,Sep-18,7.1,7.9,25.2,139,2,6.2,18.1,2.265,0.144,3.5,1927,0.174,0.079,35.2,890,176.091,151.4
46,公救1,Oct-18,7.7,11.6,18.6,204,2.5,6.7,22.4,2.511,0.125,4.6,498,0.19,0.052,43,150,118.054,138.4
47,公救1,Nov-18,7.5,10.2,13.7,338,2.9,6.5,15.1,4.107,0.086,3.8,438,0.952,0.034,25.9,143,14.486,51.1
48,公救1,Dec-18,7.6,9.7,7.1,365,2.6,6.8,11.5,5.489,0.073,4.1,165,1.112,0.017,44.2,45,20.713,38.3
49,公救1,Jan-19,8,14.5,4.4,455,4.4,8.2,19.6,5.554,0.07,5.4,41,0.73,0.004,100.8,5,16.01,13.3
50,公救1,Feb-19,7.7,12.3,5.3,439,3.6,8.7,13.3,6.341,0.097,4.6,30,1.675,0.006,43.1,10,19.421,29.6
51,公救1,Mar-19,7.9,11.8,9.7,410,3.5,7.5,13,5.926,0.094,4.7,32,1.877,0.02,36.3,12,19.783,38.5
52,公救1,Apr-19,7.8,10.8,14,425,4.4,9.5,15.3,5.426,0.094,5.3,45,1.679,0.012,25.4,10,21.241,86.3
53,公救1,May-19,7.8,9.1,19.6,327,3,8.9,23,3.995,0.087,5.1,57,1.414,0.028,13.1,14,26.601,122.9
54,公救1,Jun-19,8.3,9.9,25.3,328,3.1,11.3,19.1,3.282,0.071,6.8,89,0.753,0.012,20.5,8,34.232,172.3
55,公救1,Jul-19,7.6,7.8,25.6,181,2.7,9.2,19.7,2.842,0.104,5.3,2155,0.548,0.048,17.1,489,53.368,167
56,公救1,Aug-19,8.1,8.9,29.4,154,4.8,9.7,22.3,2.484,0.137,5.4,428,0.346,0.061,57.3,263,54.18,144.9
57,公救1,Sep-19,7.4,8.5,23.9,166,2.5,7.7,18.3,2.52,0.136,4.5,802,0.331,0.078,23.6,234,60.086,259.3
58,公救1,Oct-19,7.7,11.2,19.8,175,1.2,6.1,18.4,2.843,0.093,3.6,455,0.34,0.052,10.1,177,30.764,159
59,公救1,Nov-19,8,11.8,14,282,2.7,7.9,44.5,3.223,0.081,3.8,162,0.142,0.025,30.2,26,13.34,14.6
60,公救1,Dec-19,7.9,14.3,7.6,375,2.8,7.4,15.8,4.427,0.056,3.8,55,0.579,0.005,43.6,29,13.058,40.7
