Code,WT,EC,TOC,TN,TP,PO4-P,Chl-a,NO3-N,NH3-N,TC,FC,HRT,Toxic CYA,Non-toxic CYA
St 2-14,15.9,309,4,2.898,0.043,0.004,14.7,2.351,0.062,105,2,6.3,24,0
St 2-15,16.6,267,4,2.628,0.047,0,25.5,1.943,0.029,141,5,6.8,34,630
St 2-16,18.5,245,5,2.369,0.029,0.004,43,1.896,0.022,268,3,9.5,211,1780
St 2-17,18.9,242,5.2,2.44,0.04,0.006,20.3,1.822,0.038,271,1,10,503,750
St 2-18,20.1,250,4.4,2.243,0.041,0.005,4.6,1.73,0.077,3900,0,14.9,4050,280
St 2-19,21.2,264,4.3,2.205,0.033,0.009,4.7,1.674,0.113,82,1,17.1,6200,800
St 2-20,22.1,244,3.9,2.129,0.018,0.005,7.9,1.553,0.214,30,0,21.1,3951,740
St 2-21,22.5,253,4,2.137,0.023,0.007,7.5,1.51,0.208,25,4,13.4,16328,5520
St 2-22,23.5,270,3.9,1.877,0.029,0,8.3,1.331,0.191,45,4,12.1,4040,1186
St 2-23,25.1,292,3.8,1.811,0.033,0,8.4,1.214,0.176,318,127,10.6,2921,327
St 2-24,25.4,268,3.6,1.282,0.04,0.022,7.3,0.843,0.277,570,58,7.9,3022,260
St 2-25,23,134,7.3,3.116,0.157,0.092,2.2,1.75,0.139,1180,180,1.2,465,200
St 2-26,25,176,5.8,3.405,0.091,0.062,9.6,2.614,0.084,123,22,5.4,554,9350
St 2-27,26.2,209,5.8,3.321,0.07,0.038,11.3,2.588,0.098,55,23,10.3,2622,200
St 2-28,27.7,228,5.3,3.156,0.044,0.008,19.8,2.343,0.075,86,8,11,4618,417
St 2-29,27.8,262,5.4,2.959,0.014,0.003,48.8,2.271,0.04,39,7,10,5104,180
St 2-30,29.4,245,4.7,2.508,0.045,0.007,7.8,1.619,0.13,113,25,14.4,5987,3600
St 2-31,29.3,268,5,2.29,0.039,0.003,5.7,1.338,0.051,41,15,16.4,1140,1040
St 2-32,27.5,298,4.4,1.794,0.03,0.017,9,1.079,0.196,64,17,13.4,1179,0
St 2-33,25.1,267,5.5,1.85,0.051,0.024,16.5,1.049,0.138,4000,105,6.8,760,30
St 2-34,25.1,255,4.4,1.578,0.025,0.008,25.3,1.014,0.151,223,35,8.5,3209,450
St 2-35,22.4,186,5.8,2.42,0.104,0.06,7.1,1.763,0.1,10750,1290,5.5,57,250
St 2-36,21.7,187,6.6,2.578,0.08,0.053,8.2,1.994,0.067,510,46,6.1,507,0
St 2-37,21.6,206,5.5,2.573,0.053,0.035,8.5,1.915,0.024,198,19,9.1,1059,525
St 2-38,20,192,5.6,2.764,0.087,0.057,7.7,2.145,0.066,2400,203,2.8,231,0
St 2-39,19,203,5.4,2.6,0.063,0.041,11.4,2.133,0.036,2150,75,6.6,164,130
St 2-40,18.5,214,5.2,2.5,0.04,0.003,37.3,1.995,0.047,105,3,9.9,40,2160
St 2-41,17.2,239,5.4,2.552,0.028,0.004,40.4,2.034,0.051,59,4,10.8,0,925
St 2-42,14.5,251,5.8,2.518,0.036,0.004,40.1,1.848,0.045,105,3,11.7,55,1430
