point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
a_상주2,3.3 ,3.5 ,2.9 ,3.1 ,3.8 ,4.1 ,4.3 ,4.7 ,4.6 ,4.6 ,5.1 ,5.7 ,5.2 ,5.8 ,5.0 
b_위천,3.9 ,4.0 ,3.6 ,4.5 ,3.7 ,5.2 ,5.5 ,5.1 ,4.7 ,4.5 ,5.4 ,6.2 ,5.5 ,7.1 ,5.7 
c_상주3,3.3 ,3.7 ,3.1 ,3.1 ,3.4 ,4.5 ,4.5 ,4.5 ,4.7 ,5.0 ,5.1 ,5.6 ,5.4 ,5.6 ,5.1 
d_산곡,3.4 ,3.6 ,3.1 ,3.3 ,3.9 ,4.4 ,4.7 ,5.2 ,4.8 ,4.9 ,5.5 ,6.1 ,5.8 ,6.1 ,5.9 
e_감천,2.9 ,3.8 ,3.0 ,3.4 ,3.8 ,4.7 ,4.4 ,4.0 ,3.5 ,3.4 ,4.5 ,5.5 ,5.0 ,5.1 ,4.4 
f_강정,3.3 ,3.4 ,3.3 ,3.4 ,3.9 ,4.3 ,4.5 ,5.1 ,4.8 ,4.8 ,5.4 ,6.0 ,5.7 ,6.0 ,5.6 
g_구미,4.6 ,4.8 ,3.8 ,4.2 ,5.1 ,5.2 ,5.2 ,5.1 ,5.4 ,6.3 ,6.3 ,6.4 ,5.7 ,6.4 ,5.8 
h_왜관,4.1 ,4.3 ,4.1 ,4.6 ,5.5 ,5.3 ,5.6 ,5.5 ,5.3 ,6.0 ,6.0 ,6.4 ,5.9 ,6.4 ,5.7 
i_성주,4.7 ,4.7 ,4.7 ,5.5 ,5.2 ,5.4 ,5.4 ,5.7 ,5.6 ,6.2 ,6.1 ,6.9 ,6.0 ,6.7 ,6.4 
j_달성,4.9 ,4.9 ,4.8 ,5.5 ,6.1 ,5.3 ,5.5 ,5.9 ,5.5 ,6.2 ,6.3 ,6.8 ,6.0 ,6.7 ,6.3 
k_금호강,9.5 ,8.9 ,8.7 ,9.0 ,9.9 ,8.8 ,8.5 ,8.0 ,8.5 ,9.0 ,9.1 ,8.5 ,9.1 ,8.1 ,8.0 
l_화원나루,7.2 ,7.0 ,6.9 ,7.3 ,7.0 ,6.9 ,6.8 ,6.4 ,5.9 ,6.8 ,7.6 ,7.4 ,6.6 ,7.0 ,6.7 
m_고령,6.4 ,6.4 ,6.0 ,7.0 ,8.1 ,6.6 ,6.5 ,6.7 ,6.2 ,6.8 ,7.7 ,7.9 ,7.0 ,7.3 ,7.3 
n_현풍,6.3 ,6.4 ,6.1 ,6.9 ,7.9 ,6.7 ,6.8 ,6.8 ,6.2 ,6.6 ,7.5 ,7.5 ,6.8 ,7.2 ,6.9 
o_회천,3.6 ,3.9 ,3.1 ,4.6 ,5.0 ,4.7 ,4.1 ,3.8 ,3.4 ,3.8 ,4.4 ,4.3 ,4.4 ,5.6 ,4.8 
p_창녕,6.6 ,6.3 ,6.2 ,6.0 ,6.7 ,6.0 ,6.7 ,6.4 ,5.4 ,5.3 ,6.1 ,7.2 ,7.0 ,8.7 ,7.5 
q_황강,3.1 ,3.3 ,2.8 ,2.8 ,2.5 ,2.9 ,2.8 ,2.9 ,3.2 ,3.3 ,3.1 ,3.5 ,2.6 ,3.1 ,3.1 
r_합천,6.3 ,5.7 ,5.8 ,5.8 ,6.0 ,5.6 ,6.4 ,6.0 ,5.3 ,5.1 ,5.7 ,7.0 ,6.1 ,6.9 ,6.1 
s_남강,5.6 ,6.9 ,5.6 ,6.6 ,7.1 ,5.4 ,5.7 ,4.6 ,4.7 ,4.9 ,4.7 ,5.2 ,5.3 ,5.1 ,5.2 
t_남지,6.5 ,6.1 ,5.8 ,5.8 ,6.7 ,5.5 ,5.6 ,5.8 ,5.1 ,5.0 ,5.7 ,6.6 ,6.9 ,7.9 ,7.3 
